"product_return_accepted","Artikelrücksendung wurde akzeptiert"
"product_return_refused","Artikelrücksendung wurde nicht akzeptiert"
"product_received","Artikelrücksendung erhalten"
"product_received_but_refused","Artikelrücksendung erhalten aber abgelehnt"
"expertise_product","Artikelzustand wird geprüft"
"rma_accepted","Rücksendung akzeptiert"
"rma_refused","Rücksendung nicht akzeptiert"
"product_return","Artikelrücksendung"
"Create New Product Return","Neue Artikelrücksendung erstellen"
"Default Validity Duration","Standard Gültigkeitsdauer"
"Allow Customer Product Return Request","Rücksendungsanfrage von Kunden zulassen"
"Email new request","Neue Anfrage mailen"
"Template New Product Return Request","Template Neue Rücksendungsanfrage"
"Template Product Return Refused","Template Artikelrücksendung nicht akzeptiert"
"Template Product Return Accepted","Template Artikelrücksendung akzeptiert"
"Template Products received","Template Artikelrücksendung erhalten"
"Template Products received but refused","Template erhalten aber abgelehnt"
"Template Expertise product","Template Artikelzustand wird überprüft"
"Template RMA Accepted","Template Rücksendung akzeptiert"
"Template RMA Refused","Template Rücksendung nicht akzeptiert"
"Fake product_id","Produkt ID für Dummy Artikel"
"Company Address","Firmenadresse"
"Perform an action","Aktion durchführen"
"Request Product Return for Order #%s","Artikelrücksendung für Bestellung #%s beantragen"
"Updated At","Zuletzt aktualisiert"
"Sales Order","Bestellungen"
"Customer Phone","Kunden Telefonnummer"
"Customer Email","Kunden Email"
"Customer Address","Kunden Adresse"
"requested","Neuer Antrag"
"product return accepted","Artikelrücksendung wurde akzeptiert"
"product return refused","Artikelrücksendung wurde nicht akzeptiert"
"product received","Artikelrücksendung erhalten"
"product received but refused","Artikelrücksendung erhalten aber abgelehnt"
"Notify customer","Kunden benachrichtigen"
"Delete","Löschen"
"Created At","Erstellt"
"expertise product","Artikelzustand wird geprüft"
"rma accepted","Rücksendung akzeptiert"
"rma refused","Rücksendung nicht akzeptiert"
"New Product Return","Neue Rücksendungsanfrage"
"Product Return","Artikelrücksendung"
"Customer","Kunde"
"Reason","Grund"
"Products","Artikel"
"Product Returns","Artikelrücksendungen"
"cancel","Abbrechen"
"defect","defekt"
"Aftersale Service comments :","Servicekommentare nach Verkauf :"
"Product","Artikel"
"Qty","Menge"
"Comments","Kommentare"
"Customer comments :","Kundenkommentare"
"Valid until : ","Gültig bis "
"Valid until","Gültig bis"
"Product Return #%s","Artikelrücksendung Nº %s"
"Product Return #","Artikelrücksendung Nº"
"I agree","Ich akzeptiere"
"Submit","Übermitteln"
"Order","Bestellung"
"Request a new Product Return","Neue Artikelrücksendung beantragen"
"You have no product returns available.","Sie haben keine Artikelrücksendungen beantragt"
"Main Information","Generelle Informationen"
"Phone","Telefonnummer"
"Address","Adresse"
"Additional Comments","Zusätzliche Kommentare"
"Submit request","Anfrage übermittlen"
"You have no orders availabe for product returns.","Es sind keine Bestellungen für die Artikelrücksendung vorhanden"
"Order Total","Bestellung gesamt"
"Order Status","Bestellungsstatus"
"Ship to","Versende an"
"Order #","Bestellung Nº "
"Select Order for new Product Return","Wählen Sie eine Bestellung für eine neue Artikelrücksendung aus"
"Select Order for Product Return","Wählen Sie eine Bestellung für die Artikelrücksendung aus"
"No Items Found","Keine Daten gefunden"
"Customer","Kunde"
"Purchased On","Gekauft am"
"Bill to Name","Name (Rechnung)"
"Product Return Deleted","Artikelrücksendung gelöscht"
"Data saved","Daten wurden gespeichert"
"customer successfully notified.","Kunde wurde erfolgreich benachrichtigt"
"Product Return successfully sent.","Artikelrücksendung erfolgreich gesendet"
"You need 1 products with quantity higher than 0 .","Sie benötigen ein Produkt mit einer Menge größer als 0."
"Are you sure ?","Sind Sie sicher?"
"Edit Product Return","Artikelrücksendung bearbeiten"
"Products Reception Date","Datum Produkt erhalten"
"Products Return Date","Datum Artikelrücksendung"
"Qty Shipped","Menge gesendet"
"Qty to return","Menge zu retournieren"
"Customer Description","Kundenbeschreibung"
"Private comments","Private Kommentare"
"Public Comments","Öffentliche Kommentare"
"Technical Cost","Technische Kosten"
"Technical Cost Caption","Technische Kosten Beschreibung"
"Shipping Cost","Versandkosten"
"Select","Asuwahl"
"You have already perform an action, see order # ","Sie haben bereits eine Aktion durchgeführt, siehe Bestellung # "
"You have already perform an action, see credit memo # ","Sie haben bereits eine Aktion durchgeführt, siehe Gutschrift # "
"expired","Abgelaufen"
"new","Neu"
"Print Product Return Form","Artikelrücksendungsformular drucken"
"complete","Vollständig"
"Template RMA Complete","Template Artikelrücksendung vollständig"
"Order refunded","Bestellung erstattet"
"Product returned","Artikel zurückgesendet"
"Product exchange","Artikel ausgetauscht"
"Credit Memo #%s","Gutschrift #%s"
"Order #%s","Bestellung #%s"
"Unable to notify customer","Kundenbenachrichtigung nicht möglich"
"refund","erstatten"
"product_return","Artikelrücksendung"
"exchange","Austausch"
"Refund shipping fees","Versandkosten erstatten"
"Back products to stock","Artikel Lagerstand erhöhen"
"( Guest )","( Gast )"
"Product Return Edit","Artikelrücksendung bearbeiten"
"Save","Speichern"
"Print","Drucken"
"Delete","Löschen"
"Notify Customer","Kunden benachrichtigen"
"Main","Information"
"History","Verlauf"
"Action","Aktion"
"Default shipment","Standardversand"
"Default Fake product Name","Name des Dummy Produkts"
"Max days for request","Maximale Tage für Beantragung"
"Copy To","Kopieren nach"
"PDF Header Text","Text für PDF Kopfzeile"
"PDF Footer Text","Text für PDF Fußzeile"
"PDF Comment","PDF Kommentar"
"Products received","Artikel erhalten"
"Available Qty","Vorhandene Menge"
"Serials","Seriennummern"
"Process products","Artikel verarbeiten"
"No action","Keine Aktion"
"Return product","Artikel zurücksenden"
"Refund","Erstatten"
"Exchange","Austauschen"
"Product destination","Artikel Destination"
"Credit memo settings","Gutschriften Einstellungen"
"Order settings","Bestellungseinstellungen"
"Payment Method","Zahlungsmethode"
"Shipping Method","Versandmethode"
"Customer notified","Kunde benachrichtigt"
"Rma status change to ","Rücksendestatus ändern auf"
"Please select at least on product","Bitte wählen Sie zumindest ein Produkt aus"
"Please select destination for products to process","Wählen Sie die Destination für zu verarbeitende Artikel"
"Please confirm products processing","Bitte bestätigen Sie die Artikelverarbeitung?"
"Customer Returns","Kunden Rücksendungen"
"Pending products","Ausstehende Artikel"
"View","Anzeigen"
"Customer Return","Kunden Rücksendung"
"Received on","Erhalten am"
"Destination","Destination"
"Set as processed","Als verarbeitet markieren"
"Print and set as processed","Drucken und als verarbeitet markieren"
"Products to process","Artikel zu verarbeiten"
"Credit memo #%s created","Gutschrift #%s erstellt"
"Order #%s created","Bestellung #%s erstellt"
"Product reception processed","Erhaltene Artikel verarbeitet"
"Order : %s","Bestellung : %s"
"Date : %s","Datum : %s"
"Valid until %s","Gütig bis %s"
"Comments :","Kommentare :"
"New status for product received","Neuer Status für erhaltene Artikel"
"Display disabled shipping methods","Zeige deaktivierte Versandmethoden"
"Display disabled payment methods","Zeige deaktivierte Zahlungsmehtoden"
"Created for Product return #%s","Erstellt für Artikelrücksendung #%s"
"Request type","Anfrage-typ"
"Return label","Rückholaufkleber"
"Upload return label","Hochladen Rückholaufkleber"
"Download return label","Laden Rückholaufkleber"
"Is locked","ist gesperrt"
"Save and lock","Speichern und sperren"
"Your order was never shipped","Ihre Bestellung wurde nie geliefert"
"Ability to return products from this order expired on %s","Fähigkeit, Produkte aus diesem Auftrag zurück auf %s abgelaufen"
"Use this form if you want to create an account for an order that you previously placed as a guest.","Verwenden Sie dieses Formular, wenn Sie ein Konto für eine Bestellung, die Sie zuvor als Gast platziert erstellen möchten."
"To attach an existing order to this new account, please enter the order number in the appropriate field.","Um einen bestehenden, um dieses neue Konto legen, geben Sie bitte die Bestellnummer in das entsprechende Feld."
"If you have an existing account, please log in.","Wenn Sie bereits ein Konto haben, bitte anmelden"
"Reference Number","Referenz nummer"
"You have no active product returns.","Sie haben keine aktive Produkt Renditen."
"Initiate a product return below.","Starten Sie eine Produktrück unten."
"Once your return request has been submitted, it will be reviewed by our Customer Service team, and you'll be contacted within 24 to 48 hours.","Sobald Ihre Rückkehr Antrag eingereicht wurde, wird es von unserem Kundenservice-Team überprüft werden, und Sie werden innerhalb von 24 bis 48 Stunden kontaktiert werden."
"Contact Details","Kontakt details"
"Return Address","Artikelrücksendung adresse"
