"Custom duties","Taxes and Duties"
"Price HT","Price"
"Last Price HT","Last Price"
"Total HT","Total"
"Delivery Date","Estimated time of arrival"
"Total TTC","Total incl tax"
"Zoll costs","Tax and duties"
"Sell Price","Sale price"
"Buy Price","Buying Price"
"Sell Price Excl. tax","Sale price excl tax"
"Sell Price All taxes included","Sale price incl tax"
"manual_supply_need","Manual Supply Need"
"1_valid_orders","Valid orders"
"2_orders","All Orders"
"3_prefered_stock_level","Prefered stock level"
"4_manual_supply_need","Manual supply need"
"5_pending_delivery","Pending delivery"
