"* From %s to %s (%s)","* From %s to %s (%s)"
"Action","Action"
"Advanced Reports","Advanced Reports"
"Advanced","Advanced"
"Aggregation Options","Aggregation Options"
"All Time","All Time"
"All Websites","All Websites"
"Apply","Apply"
"Are you sure?","Are you sure?"
"Background color","Background color"
"Bestsellers Report","Bestsellers Report"
"Bestsellers","Bestsellers"
"CSV","CSV"
"Cache clean error","Cache clean error"
"Cache is clear now","Cache is clear now"
"Canceled","Canceled"
"Chart color","Chart color"
"Chart","Chart"
"Charts Options","Charts Options"
"Choose columns to show","Choose columns to show"
"City","City"
"Clean Cache","Clean Cache"
"Closed","Closed"
"Columns","Columns"
"Complete","Complete"
"Configuration","Configuration"
"Cost","Cost"
"Country","Country"
"Created At","Created At"
"Custom date range","Custom date range"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customization","Customization"
"Day of Week","Day of Week"
"Day","Day"
"Detailed","Detailed"
"Discounts","Discounts"
"Enabled","Enabled"
"Excel","Excel"
"Exclude","Exclude"
"Export to:","Export to:"
"Filter options","Filter options"
"Font color","Font color"
"Font size (px)","Font size (px)"
"From","From"
"General","General"
"Grouped","Grouped"
"Header customization","Header customization"
"Height (px)","Height (px)"
"Hour","Hour"
"Include refunded items","Include refunded items"
"Include","Include"
"Invoiced Incl. Tax","Invoiced Incl. Tax"
"Invoiced","Invoiced"
"It is not possible to build the chart.","It is not possible to build the chart."
"Items Ordered","Items Ordered"
"Items Purchased","Items Purchased"
"Last 7 days","Last 7 days"
"Last business week (Mon - Fri)","Last business week (Mon - Fri)"
"Last month","Last month"
"Last week","Last week"
"Manufacturer","Manufacturer"
"Maximum height is 300 px","Maximum height is 300 px"
"Modules","Modules"
"Mon","Mon"
"Month","Month"
"N","N"
"New Accounts","New Accounts"
"No Additional Reports Installed","No Additional Reports Installed"
"No columns to display","No columns to display"
"Number of Customers","Number of Customers"
"Number of Orders","Number of Orders"
"Number of latest custom date ranges","Number of latest custom date ranges"
"Order #","Order #"
"Order Date","Order Date"
"Orders","Orders"
"Pending","Pending"
"Percent","Percent"
"Price","Price"
"Process orders","Process orders"
"Processing","Processing"
"Product Name","Product Name"
"Products Purchased","Products Purchased"
"Products by Customer","Products by Customer"
"Products to show","Products to show"
"Q","Q"
"Qty. Invoiced","Qty. Invoiced"
"Qty. Ordered","Qty. Ordered"
"Qty. Refunded","Qty. Refunded"
"Qty. Shipped","Qty. Shipped"
"Quantity","Quantity"
"Quarter","Quarter"
"Range","Range"
"Refunded Incl. Tax","Refunded Incl. Tax"
"Refunded","Refunded"
"Region","Region"
"Report Customization","Report Customization"
"Reports","Reports"
"Reset Filter","Reset Filter"
"Reviews","Reviews"
"SKU of grouped product","SKU of grouped product"
"SKU of simple product","SKU of simple product"
"SKU usage","SKU usage"
"SKU","SKU"
"Sales Report","Sales Report"
"Sales by Country","Sales by Country"
"Sales by Customer Group","Sales by Customer Group"
"Sales by Day of Week","Sales by Day of Week"
"Sales by Hour","Sales by Hour"
"Sales by Product","Sales by Product"
"Sales","Sales"
"Sat","Sat"
"Save date range when navigating between reports","Save date range when navigating between reports"
"Save","Save"
"Select options","Select options"
"Select orders by","Select orders by"
"Set defaults","Set defaults"
"Shipping","Shipping"
"Show Report For","Show Report For"
"Show by","Show by"
"Subtotal","Subtotal"
"Sun","Sun"
"Tax Invoiced","Tax Invoiced"
"Tax Refunded","Tax Refunded"
"Tax","Tax"
"The number of records in the SKU Advisor","The number of records in the SKU Advisor"
"This month","This month"
"This version of the Unit is not comparable with the current version of Advanced Reports","This version of the Unit is not comparable with the current version of Advanced Reports"
"Thu","Thu"
"To","To"
"Today","Today"
"Total Incl. Tax","Total Incl. Tax"
"Total","Total"
"Tue","Tue"
"Units","Units"
"Updated At","Updated At"
"Users Activity Report","Users Activity Report"
"View Order","View Order"
"View Product","View Product"
"View","View"
"Wed","Wed"
"Week","Week"
"Year","Year"
"Yesterday","Yesterday"
"Zip Code","Zip Code"
