"iPhone Theme 3","iPhone Theme 3"
"General","General"
"Enable Module","Enable Module"
"Home Page","Home Page"
"-- Please Select --","-- Please Select --"
"Design","Design"
"Mobile Logo Image","Mobile Logo Image"
"Tablet Logo Image","Tablet Logo Image"
"Recommended image size is 120x44px","Recommended image size is 120x44px"
"If not specified, 'Mobile Logo Image' will be used for tablets. Recommended image size is 240x30px","If not specified, 'Mobile Logo Image' will be used for tablets. Recommended image size is 240x30px"
"Bookmarks Icon Source","Bookmarks Icon Source"
"Behavior","Behavior"
"Display Desktop/Mobile Switcher at Footer","Display Desktop/Mobile Switcher at Footer"
"Mobile Device Detection","Mobile Device Detection"
"Auto","Auto"
"Force Mobile View","Force Mobile View"
"Desktop View","Desktop View"
"Google Analytics","Google Analytics"
"Account Number","Account Number"
"Catalog Navigation","Catalog Navigation"
"Catalog","Catalog"
"Cancel","Cancel"
"Customer Login","Customer Login"
"Middle Name/Initial","Middle Name/Initial"
"Done","Done"
"Sort Order","Sort Order"
"Sort By","Sort By"
"Ascending","Ascending"
"Descending","Descending"
"Apply","Apply"
"Filter by","Filter by"
"Back","Back"
"All","All"
"Clear All","Clear All"
"Mobile Version","Mobile Version"
"Home","Home"
"Shopping Cart","Shopping Cart"
"Category products","Category products"
"Show %s more","Show %s more"
"Details","Details"
"Apply discount","Apply discount"
"Check this checkbox if you want to add gift messages","Check this checkbox if you want to add gift messages"
"Login during Checkout (Mobile View)","Login during Checkout (Mobile View)"
"Logout","Logout"
"Register","Register"
"Returning Customers","Returning Customers"
"Register to Create an Account","Register to Create an Account"
"You will receive an order confirmation email with details of your order and a link to track its progress","You will receive an order confirmation email with details of your order and a link to track its progress"
"You are currently not subscribed to any newsletter","You are currently not subscribed to any newsletter"
"Dashboard","Dashboard"
"Address Edit Form","Address Edit Form"
"To add or remove gift cards, click here","To add or remove gift cards, click here"
"Coupon Code","Coupon Code"
"Mobile Description","Mobile Description"
"Mobile Options","Mobile Options"
"Please specify mobile home pages.","Please specify mobile home pages."
"Please specify tablet and mobile home pages.","Please specify tablet and mobile home pages."
"Display stock status at catalog","Display stock status at catalog"
"Configure and Buy","Configure and Buy"
"Apply sorting","Apply sorting"
"Mobile Home Page","Mobile Home Page"
"Menu","Menu"
"Low to high","Low to high"
"High to low","High to low"
"Clear all filter","Clear all filter"
"Apply the filter","Apply the filter"
"Sign in","Sign in"
"Your cart","Your cart"
"Apply Discount","Apply Discount"
"Summary","Summary"
"Filter By","Filter By"
"Mobile Theme Name","Mobile Theme Name"
"Recommended maximum image height is 72px, but you feel free to add image with any size","Recommended maximum image height is 72px, but you feel free to add image with any size"
"Footer Links Block","Footer Links Block"
"Enable Cyrillic Fonts","Enable Cyrillic Fonts"
"If this option is disabled, saving user traffic to fonts about 50%","If this option is disabled, saving user traffic to fonts about 50%"
"Auto Detection Tablet Device","Auto Detection Tablet Device"
"You need to enable 'Google Analytics' in System - Configuration - Sales - Google API - Google Analytics","You need to enable 'Google Analytics' in System - Configuration - Sales - Google API - Google Analytics"
"Account Number","Account Number"
"Please select a static block ...","Please select a static block ..."
"Reviews","Reviews"
"Name","Name"
"Price","Price"
"Position","Position"
"In stock","In stock"
"Out of stock","Out of stock"
"Create Account","Create Account"
"Place the order","Place the order"
"Choose and continue","Choose and continue"
"Flat Rate","Flat Rate"
"Free Shipping","Free Shipping"
"Fixed","Fixed"
"Enable redirect to store","Enable redirect to store"
"Redirect to store","Redirect to store"
"Not applicable with single store","Not applicable with single store"
"Subtotal","Subtotal"
"Add to cart","Add to cart"
"Grand Total","Grand Total"
"Update Cart","Update Cart"
"Discounts","Discounts"
"Apply Coupon","Apply Coupon"
"My Downloadable Products","My Downloadable Products"
"Required Fields","Required Fields"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Clear this filter","Clear this filter"
"Related","Related"
"Related products","Related products"
"Ship to another address","Ship to another address"
"Create an account","Create an account"
