"Payment/Shipping Methods Access","Payment/Shipping Methods Access"
"Payment Methods","Payment Methods"
"Shipping Methods","Shipping Methods"
"Methods Visibility","Methods Visibility"
"Unable to save. Wrong type specified.","Unable to save. Wrong type specified."
"Visibility options have been saved.","Visibility options have been saved."
"Current Scope","Current Scope"
"Payment Methods Visibility","Payment Methods Visibility"
"Shipping Methods Visibility","Shipping Methods Visibility"
"System","System"
