"product_return_accepted","Product return accepted"
"product_return_refused","Product return refused"
"product_received","Product received"
"product_received_but_refused","Product refused"
"expertise_product","Expertising products"
"rma_accepted","Rma accepted"
"rma_refused","Rma refused"
"product_return","Return product"
"waiting_for_supplier","Waiting for supplier"
"Customer changed for order","Customer changed for order"
"Create your account","Create your account"
"Use this form if you want to create an account for an order placed as guest.","Use this form if you want to create an account for an order placed as guest."
"To attach existing order to your new account, please fill the order number in the field.","To attach existing order to your new account, please fill the order number in the field."
"Personal Information","Personal Information"
"Email Address","Email Address"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Login Information","Login Information"
"Password","Password"
"Confirm Password","Confirm Password"
"Order information","Order information"
"Order number","Order number"
"* Required Fields","* Required Fields"
"Back","Back"
"Submit","Submit"
"Thanks for registering !","Thanks for registering !"
"Select","Select"
"Your order was never shipped","Your order was never shipped"
"Ability to return products from this order expired on %s","Ability to return products from this order expired on %s"
"Use this form if you want to create an account for an order that you previously placed as a guest.","Use this form if you want to create an account for an order that you previously placed as a guest."
"To attach an existing order to this new account, please enter the order number in the appropriate field.","To attach an existing order to this new account, please enter the order number in the appropriate field."
"If you have an existing account, please log in.","If you have an existing account, please log in."
"Reference Number","Reference Number"
"You have no active product returns.","You have no active product returns."
"Initiate a product return below.","Initiate a product return below."
"Once your return request has been submitted, it will be reviewed by our Customer Service team, and you'll be contacted within 24 to 48 hours.","Once your return request has been submitted, it will be reviewed by our Customer Service team, and you'll be contacted within 24 to 48 hours."
"Contact Details","Contact Details"
"Return Address","Return Address"
"A return is already in progress for this product, or this product has not been invoiced.","A return is already in progress for this product, or this product has not been invoiced."
"Reason for the return","Reason for the return"
"Requested Action","Requested Action"
"NOTE: Defective items can only be exchanged for the same item. They can NOT be returned for a refund.","NOTE: Defective items can only be exchanged for the same item. They can NOT be returned for a refund."
"Submit","Submit"
"Select an order to initiate a product return.","Select an order to initiate a product return."
"There are no existing orders in your account to initiate a product return.","There are no existing orders in your account to initiate a product return."
"Contact Information","Contact Information"
"Create an account","Create an account"
"You must create an account in order to request a product return.","You must create an account in order to request a product return."
"Sign Up for our Newsletter","Sign Up for our Newsletter"
