"% Crawled","% Crawled"
"<b>Only available with the ""Deep Crawling / Logged URLs"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>","<b>Only available with the ""Deep Crawling / Logged URLs"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>"
Action,Action
"Add after","Add after"
"Add Custom Url","Add Custom Url"
"Add Filter","Add Filter"
"Add Job","Add Job"
"Added %d custom URLs to queue","Added %d custom URLs to queue"
"Added %d generated URLs to queue","Added %d generated URLs to queue"
"Added %d logged URLs to queue","Added %d logged URLs to queue"
"Adding a new queued job will delete any existing queued jobs.","Adding a new queued job will delete any existing queued jobs."
"All keys and values must be raw URL encoded. Usually you would leave this blank. Format: key1=value1&key2=value2","All keys and values must be raw URL encoded. Usually you would leave this blank. Format: key1=value1&key2=value2"
"Almost always enable this. There is no reason to crawl a product that has been disabled.","Almost always enable this. There is no reason to crawl a product that has been disabled."
"Are you sure you want to change the status?","Are you sure you want to change the status?"
"Are you sure?","Are you sure?"
Automatic,Automatic
"Avg. Crawl Rate","Avg. Crawl Rate"
Both,Both
"Cannot change status from %s to %s","Cannot change status from %s to %s"
Categories,Categories
"Category Products","Category Products"
"Change status","Change status"
"Changing the lock key is unsupported","Changing the lock key is unsupported"
"Close DB Connection","Close DB Connection"
"CMS Pages","CMS Pages"
Configuration,Configuration
Cookies,Cookies
"Could not create / open file: %s","Could not create / open file: %s"
"Could not find a customer for customer group ID %d","Could not find a customer for customer group ID %d"
"Crawl Delay","Crawl Delay"
"Crawl Finished","Crawl Finished"
"Crawl Started","Crawl Started"
"Crawled URLs","Crawled URLs"
"Crawled Urls","Crawled Urls"
Crawler,Crawler
"Crawler not runnable due to high system load: %s","Crawler not runnable due to high system load: %s"
Created,Created
Curl,Curl
"Currencies that are disabled when generating URLs. CTRL-Click to select more than one","Currencies that are disabled when generating URLs. CTRL-Click to select more than one"
"Custom Url","Custom Url"
"Custom URLs","Custom URLs"
"Custom Urls","Custom Urls"
"Custom Urls for %s (%s)","Custom Urls for %s (%s)"
"Customer Group Ids","Customer Group Ids"
"Customer Groups","Customer Groups"
"Date Created","Date Created"
"Date Scheduled","Date Scheduled"
"Date Started","Date Started"
"Deep Crawling","Deep Crawling"
