"<b>Format:</b> one regular expression per line
						                        	<br/><br/>
						                        	If you serve different content based on user agent (for example, to serve a mobile theme) and for some reason you do not want to use the cache for these user agents, then you may enter a regular expression to disable the cache for these user agents. To disable the cache for mobile clients you could use something like this:
													<p style=""margin-top: 10px"">BlackBerry|Pre|Palm|Googlebot-Mobile|mobi|Safari Mobile|Windows Mobile|Android|Opera Mini|mobile</p>
						                        	","<b>Format:</b> one regular expression per line
						                        	<br/><br/>
						                        	If you serve different content based on user agent (for example, to serve a mobile theme) and for some reason you do not want to use the cache for these user agents, then you may enter a regular expression to disable the cache for these user agents. To disable the cache for mobile clients you could use something like this:
													<p style=""margin-top: 10px"">BlackBerry|Pre|Palm|Googlebot-Mobile|mobi|Safari Mobile|Windows Mobile|Android|Opera Mini|mobile</p>
						                        	"
"<b>Format:</b> One regular expression per line including the //. For example, /admin/ to match any url with admin.
						                        	<br/><br/>
						                        	If a a URI matches any string listed here, then the page cache extension will not run. <b>You must set this correctly in order to login to the admin area</b>. By default, the only string listed here is <i>admin</i>. If an extension uses admin URIs that do not match the below list then you will not be able to view that extensions admin pages until you add the appropriate identifier here.
						                        	<br/><br/>
						                        	<b>Note:</b> This can be used to disable the cache based on any arbitrary URL string.
						                        	","<b>Format:</b> One regular expression per line including the //. For example, /admin/ to match any url with admin.
						                        	<br/><br/>
						                        	If a a URI matches any string listed here, then the page cache extension will not run. <b>You must set this correctly in order to login to the admin area</b>. By default, the only string listed here is <i>admin</i>. If an extension uses admin URIs that do not match the below list then you will not be able to view that extensions admin pages until you add the appropriate identifier here.
						                        	<br/><br/>
						                        	<b>Note:</b> This can be used to disable the cache based on any arbitrary URL string.
						                        	"
"<b>Format:</b> one string per line.
						                        	<br/><br/>
						                        	This is useful if you do not want administrators to load the cache. This enables this to view all the latest changes to the site. Add <i>adminhtml</i> to the list to accomplish this.","<b>Format:</b> one string per line.
						                        	<br/><br/>
						                        	This is useful if you do not want administrators to load the cache. This enables this to view all the latest changes to the site. Add <i>adminhtml</i> to the list to accomplish this."
"<b>Note:</b> click the input box for more information on each field.","<b>Note:</b> click the input box for more information on each field."
"<b>Only available with the ""Cache Backends"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>","<b>Only available with the ""Cache Backends"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>"
"<b>Only available with the ""Page Rules"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>","<b>Only available with the ""Page Rules"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>"
"<b>Only available with the ""Secondary Cache"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>","<b>Only available with the ""Secondary Cache"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>"
"<b>Only available with the ""Tagging"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>","<b>Only available with the ""Tagging"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>"
"<u>Hole punch hits will only be visible if you are in the secondary cache.</u> You can view what cache level you are in by using the footer widget / output headers.","<u>Hole punch hits will only be visible if you are in the secondary cache.</u> You can view what cache level you are in by using the footer widget / output headers."
"<ul style=""list-style-type:disc; margin-left: 20px;""><li><b>Category Save</b> - after saving a category</li></ul>","<ul style=""list-style-type:disc; margin-left: 20px;""><li><b>Category Save</b> - after saving a category</li></ul>"
