"Group","Grupo"
"Description","Descripci&oacute;n"
"Executed At","Fecha de Ejecuci&oacute;n"
"Result","Resultado"
"Result description","Descripci&oacute;n del resultado"
"Tasks successfully performed","Tareas realizadas con &eacute;xito"
"Tasks successfully deleted","Tareas borradas con &eacute;xito"
"Group Tasks successfully deleted","Tareas de grupo borradas con &eacute;xito"
"Background Tasks","Tareas de Fondo"
"Clear all Tasks","Suprimir todas las Tareas"
"Clear group Tasks","Suprimir Tareas de grupo"
"Please wait until tasks are complete...","Por favor espere mientras las tareas se completan..."
"General","General"
"Max Execution Time","Tiempo Max de Ejecuci&oacute;n"
"Delete failed Tasks ?","Borrar Tareas fallidas ?"
"History Duration","Duraci&oacute;n de Historia"
"Developper Email Address","Direcci&oacute;n Email de Desarrollador"
"Debug Mode","Modo de Depuraci&oacute;n"
"Immediate Mode","Modo Inmediato"
"Store stack trace","Rastreo de pila de Tienda"
"Replay","Repetir"
