"Advanced Reports","Les rapports avancés"
"Range","La gamme"
"Today","Aujourd'hui"
"Yesterday","Hier"
"Last 7 days","Les 7 derniers jours"
"Last week","La semaine dernière"
"Last business week (Mon - Fri)","La dernière semaine de travail (lundi - vendredi)"
"This month","Ce mois-ci"
"Last month","Le mois dernier"
"All Time","Tous le temps"
"Custom date range","La gamme de dates personnalisée"
"Charts Options","Les options graphiques"
"Bestsellers Report","Le rapport sur les meuileures ventes"
"Advanced","Avancé"
"Bestsellers","Les meilleures ventes"
"Percent","Le pourcentage"
"Sales by Country","Les ventes par pays"
"Sales by Hour","Les ventes par heure"
"Sales by Day of Week","Les ventes par jour de la semaine"
"Day of Week","Le jour de la semaine"
"Sales by Product","Les ventes par produit"
"Enter product SKUs, separated by comma","Entrez les SKU des produits, séparés par des virgules"
"Day","Le jour"
"Week","La semaine"
"Month","Le mois"
"Quarter","Le trimestre"
"Year","L'année"
"CSV","CSV"
"Excel","Excel"
"Height (px)","L'hauteur (px)"
"Chart color","La couleur du graphique"
"Font size (px)","La taille de la fonte(px)"
"Font color","La couleur de la fonte"
"Background color","La couleur du background"
"Configuration","La configuration"
"Process orders","Traiter les commandes"
"Mon","Lun."
"Tue","Mar."
"Wed","Mer."
"Thu","Jeu."
"Fri","Ven."
"Sat","Sam"
"Sun","Dim."
"Complete","Complet"
"Pending","En attente"
"Processing","Le traitement"
"Closed","Fermé"
"Canceled","Annulé"
"Holded","Retenu"
"Q","Q"
"Users Activity Report","Le rapport d'activité des utilisateurs"
"New Accounts","De nouveaux comptes"
"Orders","Les commandes"
"Reviews","Les avis"
"Sales Report","Le rapport des ventes"
"View Order","Voir la commande"
"View Product","Voir le produit"
"Sales by Customer Group","Les ventes par groupe de clients"
"Customer Group","Le groupe de clients"
"Order #","La commande #"
"Order Date","La date de commande"
"SKU","SKU"
"Country","Le pays"
"Region","La région"
"Zip Code","Le code postal"
"Product Name","Le nom du produit"
"Quantity","La quantité"
"Manufacturer","Le fabricant"
"Quantity","La quantité"
"Cost","Le prix"
"Subtotal","Sous-total"
"Tax","L'impôt"
"Discounts","Les remises"
"Total","Total"
"Invoiced","Facturé"
"Refunded","Remboursé"
"View Order","Voir la commande"
"View Product","Voir le produit"
"Products by Customer","Les produits par client"
"Items Purchased","Les articles achetés"
"Number of Customers","Le nombre de clients"
"Modules","Les modules"
"Select orders by","Sélectionnez les commandes par"
