"Payment validated","Paiement validé"
"Validate payment","Valider le paiement"
"Cancel payment","Annuler le paiement"
"Cancel","Annuler"
"Margins","Marges"
"Payment","Paiement"
"Error","Erreur"
"Incl. Tax","TTC"
"Warehouse","Dépot"
"Stock mini","Seuil réappro"
"Ordered<br>Qty","Qte commandée"
"Shipped<br>Qty","Qte expédiée"
"Qty to ship","Qte à expédier"
"Reserved<br>Qty","Qte réservée"
"Valid","Valide"
"Preparation<br>Warehouse","Dépot<br>préparation"
"Serial","Numéro de série"
"Day","Jour"
"Week","Semaine"
"Month","Mois"
"Year","Année"
"From warehouse","Dépot source"
"To warehouse","Dépot cible"
"Qty","Qte"
"Stock movements","Mouvements de stock"
"Stock Graph","Graphique du stock"
"Pending sales order","Commandes client en attente"
"Barcode","Code barre"
"Force Stocks Update","Forcer la mise à jour du stock"
"View product","Voir le produit"
"Buy Price","Prix d'achat"
"Sell Price","Prix de vente"
"Margin %","Marge %"
"Stock Summary","Résumé des stocks"
"Available Qty","Qte disponible"
"Prefered stock level","Seuil de réappro"
"Ordered Qty","Qte commandée"
"Reserved Qty","Qte réservée"
"Needed Qty","Qte nécessaire"
"Reserve","Réserver"
"Release","Libérer"
"Comments","Commentaires"
"Assignments","Affectations"
"Edit warehouse","Edition d'un dépot"
"Own","Stock propre"
"Payments validated","Paiement validé"
"Payments canceled","Paiement annulé"
"Payment state updated","Etat du paiement mis à jour"
"Error fixed","Erreur corrigée"
"An error occured : ","Une erreur est survenue"
"Refresh is_valid for orders","Mettre à jour is_valid"
"Changes saved","Modifications enregistrées"
"Stocks updated","Stocks mis à jour"
"Product released","Produit libéré"
"Product reserved","Produit réservé"
"Serial deleted","Numéro de série supprimé"
"Please fill description","Veuillez saisir la description"
"New warehouse created","Nouveau dépot créé"
"Warehouse deleted","Dépot supprimé"
"You can not delete default warehouse","Vous ne pouvez pas supprimer le dépot par défaut"
"Refresh stock errors","Mise à jour des erreurs de stock"
"Adjustment","Ajustement"
"Shipment for order #","Expédition pour la commande "
"sales_order","Commande client"
"min_qty","Seuil reappro"
"ok","ok"
"pending_supply","Attente livraison"
"other","Autres"
"Stored qty is incorrect (%s instead of %s)","Qte enregistrée incorrecte (%s au lieu de %s)"
"Stored reserved qty is incorrect (%s instead of %s)","Qte réservée incorrecte (%s au lieu de %s)"
"Stored ordered qty is incorrect (%s instead of %s)","Qte commandée incorrecte (%s au lieu de %s)"
"Quantity (%s) can not be negative","La qte (%s) ne peut etre négative"
"Reserved qty (%s) cant be greater than ordered qty (%s) ","La qte réservée (%s) ne peut etre plus grande que la qte commandée (%s)"
"Reserved qty (%s) cant be greater than qty (%s)","La qte réservé (%s) ne peut etre plus grande que la qté (%s)"
"System is unable to fix error : error must be fixed manually","Impossible de corriger l'erreur : veuillez le faire manuellement"
"Please select warehouse","Veuillez selectionner un dépot"
"Warehouses are identical","Les dépots sont identiques"
"Quantity incorrect","Quantité incorrecte"
"Requested quantity is not available","La qte demandee n'est pas disponible"
"There is no source stock for this product","Il n'y a pas de stock source pour ce produit"
"Unable to create stock movement : ","Erreur lors de la creation : "
"Data successfully saved","Données sauvegardées"
"Error !","Erreur !"
"Mass Stock Editor","Edition des stocks en masse"
"Save","Enregistrer"
"Back","Retour"
"Barcodes","Code barre"
"Serials Numbers","Numéros de série"
"Add Serials","Ajouter un numéro de série"
"New serials","Nouveau numéro de série"
"Price","Prix"
"Used tax rate : ","Taux de taxe utilisé"
"Buy Price","Prix d'achat"
"Sell Price Excl. tax","Prix de vente HT"
"Sell Price All taxes included","Prix de vente TTC"
"Margin %","Marge (%)"
"Stored value","Valeur stocké"
"Stock settings","Paramètres de stock"
"Manage stocks","Gerer les stocks"
"Backorders","Commandes en rupture"
"Stocks","Stocks"
"New stock movement","Nouveau mouvement de stock"
"Stock movements","Mouvements de stock"
"Stock graph","Graphique de stock"
"From :","De : "
"To :","A :"
"Group by :","Grouper par :"
"Update Graph","Actualiser le graph"
"Stock level","Niveau de stock"
"Product List","Liste de produits"
"Check for stock errors","Vérifier les erreurs de stock"
"From warehouse","Stock source"
"To warehouse","Stock cible"
"Qty","Qte"
"Create","Créer"
"Products Serials List","Numéros de série"
"Stock Errors","Erreurs de stock"
"Refresh cache","Rafraichir le cache"
"Stock Movements List","Mouvements de stock"
"Website","Site"
"Name","Nom"
"Code","Code"
"Description","Description"
"Address","Adresse"
"Own warehouse","Stock propre"
"Edit warehouse","Editer un dépot"
"Back","Retour"
"Warehouse assignments","Affectations"
"Warehouse management","Dépots"
"New","Nouveau"
"Create new warehouse","Nouveau dépot"
"Task group does not exist","Ce groupe de tache n'existe pas"
"Unit Cost","Cout unitaire"
"Unit Price","PU"
"Total Margin","Marge totale"
"Total Margin %","Marge totale %"
"Access denied","Accès refusé"
"Payment validation","Validation du paiement"
"Payment validated","Paiement validé"
"Planning is not up to date","Le planning n'est pas à jour"
"Update planning now !","Mettre à jour maintenant"
"Force to","Forcer"
"Max date","Date max"
"Order placed ","Commande passée"
"Considered on ","Considérée le "
"Ready to prepare","Prete a préparer"
"Shipping date","Date d'expédition"
"Delivery","Livraison"
"Order completely shipped","Commande complètement expédiée"
"Order not completely shipped","Contient des produits restant à expédier"
"Order is valid","Commande valide"
"Order is not valid","Commande NON valide"
"Order is prepared from warehouse %s","Commande préparée à partir du dépot %s"
"Supply planed on ","Approvisionnement prévu le "
"Availability : ","Disponibilités"
"Stock Management","Gestion de stock"
"Tools","Outils"
"Product Serials","Numéros de série"
"Stock Movements","Mouvements de stock"
"Stock settings","Gestion de stock"
"Use default : ","Utiliser la valeur par défaut "
"Advanced Stock","Stock avancés"
"General","General"
"Validate payment when invoice created","Valider automatiquement le paiement lorsqu'une facture est créée"
"Valid orders","Commandes valides"
"Require payment validated flag","Le paiement doit être validé"
"Exclude order with status","Exclure les commandes dont le statut est "
"Update is_valid for all orders","Mettre a jour la validité de toutes les commandes"
"Update now","Mettre à jour maintenant"
"Fix error","Corriger"
"sales","Ventes"
"product_return","Retours produits"
"leads","Prêts"
"lost_broken","Non valeur"
"order_preparation","Preparation"
"Is in stock","En vente"
"Min sale qty","Qte mini par vente"
"Max sale qty","Qte maxi par vente"
"Mass fix errors","Tout corriger"
"Fix stock errors","Correction des erreurs de stock"
"Reserve products for invalid orders","Réserver les produits pour les commandes non valides"
"Product reservation enabled","Réservation de produit activée"
"Product reservation disabled","Réservation de produit désactivée"
"This order doesnt fullfill reservation conditions","Cette commande ne remplit pas les conditions de réservation"
"supply","Approvisionnement"
"order","Commande client"
"rma","RMA"
"donation","Don"
"lost/broken","Perdu/casse"
"loan","Pret"
"Customer Return","Retour client"
"Rma reservation","Reservation RMA"
"rma_reservation","Reservation RMA"
"Cant find warehouse for rma reservation for website # %s","Impossible de trouver le dépot pour la réservation de produits"
"Release","Libérer"
"Stock level too low to release reservation for product %s","Niveau de stock trop faible pour libérer le produit %s"
"Disable supply needs","Désactiver les besoins d'approvisionnement"
"Created at","Créé le"
"Updated at","Mis à jour le"
"Barcode labels","Etiquette code barre"
"Top margin","Marge haut"
"Left margin","Marge gauche"
"Right margin","Marge droite"
"Bottom margin","Marge bas"
"Vertical inter margin","Marge verticale entre étiquettes"
"Horizontal inter margin","Marge horizontale entre étiquettes"
"Labels per row","Etiquettes par ligne"
"Row count","Nombre de lignes"
"Update order product stock max","Nb max de commande traitées à chaque passage"
"Display configurable attributes","Afficher les valeurs d'attributs configurables"
"Shelf<br>Location","Emplacement"
"Product location","Emplacement"
"Products","Produits"
"Products List","Liste des produits"
"Order validity updated","Validité de la commande mise à jour"
"Replace magento inventory tab in product sheet","Remplacer l'onglet inventaire dans la fiche produit magento"
"Order prepared from : ","Commande préparée à partir des dépots : "
"Out of stock range","Période de rupture"
"Favorite<br>Warehouse","Dépot<br>favori"
"Associate product to warehouse","Associer le produit à un dépot"
"Is favorite","Est favori"
"Export Stock levels at specific date","Exporter le stock à date"
"Import Stock levels at specific date","Importer un inventaire"
"Stock movement caption","Libellé du mouvement de stock"
"Edit","Edition"
"Stock movement management","Gestion des mouvements de stock"
"Price view","Onglet prix"
"Product barcodes","Codes barre"
"Print labels","Imprimer étiquettes"
"1 barcode per line","1 code barre par ligne"
"Sales History","Historique des ventes"
"Last %s week(s)","%s dernières semaines"
"No history available","Historique non disponible"
"Unable to suggest prefered stock level, sales history is empty !","Suggestion impossible, l'historique des ventes est vide"
"Enable auto update (every sunday night)","Autoriser la mise à jour auto (tous les dimanche soirs)"
"Week number for period 1","Nb de semaines pour la période 1"
"Week number for period 2","Nb de semaines pour la période 2"
"Week number for period 3","Nb de semaines pour la période 3"
"Update for all products","Mettre à jour maintenant"
"Update now","Mettre à jour maintenant"
"Router to associate order items to warehouse","Routeur pour associer ligne commande et dépot"
"Default warehouse","Dépot par défaut"
"Update now","Mettre à jour"
"Enable auto calculation","Activer le calcul auto"
"Calculate needed qty for X weeks","Calculer les besoins pour X semaines"
"Formula","Formule de calcul"
"Enable for Warehouses","Activer pour les dépots"
"Affect to favorite stock, Affect to warehouse having stock, affect to default warehouse","Affecter au dépot favori, au dépot ayant du stock, au dépot par defaut"
"Affect to warehouse having stock, affect to favorite stock, affect to default warehouse","Affecter au dépot ayant du stock, au dépot favori, au dépot par defaut"
"Affect to warehouse having stock, affect to default warehouse","Affecter au dépot ayant du stock, au dépot par defaut"
