"Group","Groupe"
"Description","Description"
"Executed At","Date d'execution"
"Result","Résultat"
"Result description","Description du résultat"
"Tasks successfully performed","Tâches exécutées avec succès"
"Tasks successfully deleted","Tâches supprimées"
"Group Tasks successfully deleted","Groupe de tâches supprimé"
"Background Tasks","Tâches de fond"
"Clear all Tasks","Supprimer toutes les tâches"
"Clear group Tasks","Supprimer toutes les tâches de groupe"
"Please wait until tasks are complete...","Veuillez patienter pendant l'exécution"
"General","Géneral"
"Max Execution Time","Temps d'exécution maximum"
"Delete failed Tasks ?","Supprimer les tâches en erreur ?"
"History Duration","Durée de l'historique"
"Developper Email Address","Email a alerter lorsqu'une tâche provoque une erreur"
"Debug Mode","Mode debug"
"Immediate Mode","Mode immédiat"
"Store stack trace","Stocker la stack trace"
"Replay","Rejouer"
"Stats","Statistiques"
"Background Tasks Stats","Statistiques des tâches de fond"
"Duration","Durée"
"Task count","Nombre de tâches"
"Remain to execute","Reste a exécuter"
"Stats per method","Statistiques par méthode"
"Cron execution stats","Statistiques d'exécution du Cron"
"Count","Nombre"
"Avg duration","Durée moyenne"
"Total duration","Durée totale"
"Back","Retour"
"To notify for errors,"Pour notifier des erreurs"
"hours","heures"
"Clear Successful Tasks","Supprimer toutes les tâches réussies"
"Run next tasks","Lancer les prochaines tâches"
"Priority","Prioritée"
"Set a lower priority","Définir une prioritée plus basse"
"Delete","Supprimer"
"Created At","Date de création"

