"No barcode available","Pas de code barre"
"Matching in progress, please wait","Association en cours, veuillez patienter"
"No result","Aucun résultat"
"Competitor","Vendeur"
"Price","Prix"
"Shipping","Port"
"Total","Total"
"See on","Voir sur"
"offers for this product","offres pour ce produit"
"Google Shopping<br>Prices","Prix Google<br>Shopping"
"Configure me","Configurez moi !"
"Google Shopping Price","Prix Google Shopping"
"Google Shopping website","Site Google Shopping"
"Price update frequency","Fréquence de mise à jour"
"If enabled, the extension adds the google shopping column in products list","Si activé, l'extension ajoute la colonne Google Shopping dans la liste des produits"
"Select the google shopping website to use to collect prices","Version de google pour récupérer les prix"
"Frequency to update the competitor information","Fréquence pour la mise à jour des informations de prix"
"Daily","Journalier"
"Weekly","Hebdomadaire"
"Monthly","Mensuel"
"Watch this product","Surveiller ce produit"
"Sort mode for seller","Order d'affichage des vendeurs"
"Number of sellers to display","Nombre de vendeurs à afficher"
"Select the way to sort sellers","Conditionne la façon dont les vendeurs sont ordonnés"
"Sort per google rank","Utiliser le rang google"
"Sort per cheapest offer (price and shipping)","Trier du moins cher au plus cher (prix + frais de port)"
"Watch only selected products","Surveiller uniquement les produits sélectionnés"
"If enabled, you manually select the products to watch from the grid using the watch product button. If disabled, all products are watched","Si actif, vous devez sélectionner les produits à surveiller depuis la grille"
"No offer for this product","Aucune offre pour ce produit"
"Products to watch","Produits à surveiller"
"Exclude disabled products","Exclure les produits désactivés"
"Exclude out of stock products","Exclure les produits sans stock"
"This product is excluded","Produit exclu"
"please check your configuration","vérifiez votre configuration"
"Your credits are over","Vos crédits sont expirés"
"Account status","Statut du compte"
"Your boostmyshop customer account email","Votre email client boostmyshop"
"Your secret key (available in your customer account on boostmyshop.com","Votre clé secrète (disponible depuis votre compte client sur boostmyshop.com)"
"Credits","Crédits"
"Need to purchase new credits ? login on ","Besoin d'acheter des crédits ? connectez vous sur "
"buy credits","Acheter des crédits"
"Flush cache","Vider le cache"
"Create table","Créer les tables"
"To use if database installation failed","Utiliser si l'installation a échoué"
"How to use","Comment utiliser"
"To use the Google Shopping prices feature in ERP, you need to enter your credentials.","Pour afficher les prix google, vous devez renseigner vos identifiants"
"You can retrieve your credentials in your customer account on boostmyshop.com, in the credits tab","Vous pouvez retrouver vos identifiants depuis votre compte boostmyshop, onglet Crédits"
"Credits balance","Solde de crédits"
"Price Tracker Channel","Canal"
"Select the channel to use to collect prices","Sélectionnez le canal pour surveiller les prix"
"This field is only used when ERP is installed","Ce champs est utilisé uniquement dans le cas où l'ERP est installé"
