"Installed versions","Versions installée"
"Not checked yet","Non encore vérifié"
"Display the orders not yet processed by ERP","Affiche les commandes non encore considérées par l'ERP"
"Consider them Now","Les considérer maintenant"
"Order count","Nombre de commandes"
"Order list","Liste des commandes"
"Product which the stock Qty is different from the sum of the stock movements for each warehouse","Produits dont la quantitée en stock est différente de la somme des mouvements de stock pour ce dépot"
"Update Stock Movements using stock quantity","Mise à jour des mouvements de stock en se basant sur la quantitée en stock"
"Update stock quantity using Stock Movements","Mise à jour de la quantitée en stock en se basant sur les mouvements de stock"
"All views are present","Toutes les vues sont présentes"
"None of the view are present","Aucune des vues n'est présente"
"Some views are missing : %s","Certaines vues sont manquantes : %s"
"Check the presence of the required Views","Vérifie la présence des vues nécéssaire"
"Check the presence of the views : %s, %s, %s and %s","Vérifie la présence des vues : %s, %s, %s and %s"
"Product list","Liste des produits"
"Product without Availibility Status","Produits sans status de disponibilité"
"Check mandatory settings that garanty ERP correct behaviour","Vérifie des options dont les valeurs doivent etre obligatoirement définie à une certaine valeur pour garantir le bon fonctionnement de l'ERP"
"Options with uncorrect settings","Option avec un paramètre incorrecte"
"Option list","Liste des options"
"Options %s with uncorrect settings","Options %s avec un paramètre incorrect"
"Product which the Waiting for delivery Qty is not consistant","Produit pour lesquels la quantité en attente de livraison est incorrecte"
"Products with a Waiting for delivery Qty issue","Produits avec une quantité en attente de livraison incorrecte"
"Product which the Availibility Status is not consistant","Produits pour lesquels le status de disponibilité n'est pas cohérent"
"Product which the ordered qty is not consistant","Produits pour lesquels la quantité commandée n'est pas cohérente"
"Launch the Cron manually in a new tab","Lance le Cron manuellement dans un nouvel onglet"
"Pending backgrounds tasks","Tâches de fond en attente"
"Background Tasks status","Status des tâches de fond"
"NO Last Successfull task !","Aucune dernière tâche de fond en succès"
"Last sucessfull task is","La dernière tâche de fond en succès est"
"The number of background task is acceptable","Le nombre de tâches de fond est acceptable"
"The number of background task is too high, please launch the cron manually to perform some checks or set up the cron to run faster","Le nombre de tâches de fond est trop élévé, lancez le cron manuellement pour faire des vérifications et pensez à configurer le cron pour qu'il soit exécuté avec une plus grande fréquence"
"The number of background task begin to be high, please check this regulary and please launch the cron manually to perform some checks","Le nombre de tâches de fond commence a être trop élévé, vérifiez cet indicateur périodiquement et lancez le cron manuellement pour faire des vérifications"
"ERP version + each ERP's sub modules versions (XML+SQL versions)","Version de ERP + version de chaque sous module de ERP (XML+SQL version)"
"SQL Views status","Status d'installation des SQL View de ERP"
"Orders not yet considered by ERP","Commandes non encore considérées par ERP"
"Product stock qty differents from the Sum of stock movements","Quantitée en stock différente de la somme des mouvements de stock "
"Unconsistant Product Availibility Status","Status de disponibilité des produits incohérent"
"Missing Product Availibility Status","Status de disponibilité des produits manquant"
"Products with unconsistant waiting for delivery quantity","Produits ayant une quantitée en attente de livraison incohérente"
"Product with unconsistant quantity ordered","Produits ayant une quantitée commandée incohérente"
"Check options","Vérification des options"
"Displays the advanced messages","Afficher les messages detaillées"
"Displays the basic messages","Afficher les messages simplifiés"
"Fix them All","Corriger tous les problèmes"
"Product with stock problem","Produits avec un problème de stock"
"Healthy ERP","ERP Info"
"TRY TO RECREATE ALL VIEWS","RECREER TOUTES LES VUES"
"ERP has detected %s issue(s). Please go into System > Configuration > ERP > ERP Info","ERP a détecté %s erreur(s). Allez dans System > Configuration > ERP > ERP Info"
"Missing order product reservations","Reservation de commande manquantes"
"Orders with non reserved item","Commandes dont certains produits n'ont pas été reservés"
"Check attributes","Vérification des attributs"
"Check missing mandatory attributes","Vérification des attributs produits obligatoires"
"Attribute missing","Attribut manquant"
"Displays the ERP Info notifications in Magento notifications","Affiche les alertes de ERP info dans les notifications de Magento"
"Product stock qty without any stock movements by warehouse","Produit pour lequel la quantité en stock ne correspond à aucun mouvement de stock"
"Product which the stock Qty does not match with any stock movements for each warehouse","Produit pour lequel la quantité en stock ne correspond à aucun mouvement de stock pour aucun dépot"
"Product with stock problem","Produit avec un problème de stock"
"product list","Liste des produits"
"ERP Magento integration","Integration de l'ERP dans Magento"
"ERP automatic functionalities (cron, order consideration ...)","Fonctions automatiques de l'ERP (cron, consideration des commandes ...)"
"Disable ERP Magento cron - Use erpcron.php instead","Désactive l'éxécution des tâches de l'ERP dans le cron Magento - Utiliser erpcron.php à la place"
"Enable ERP","Activer ERP"
