"Installed extension","Module installés"
"Last version","Dernière version"
"Installed version","Version installée"
"Status","Statut"
"Extension code","Code de l'extension"
"New HELP button available on each Boost My Shop module pages","Un nouveau bouton HELP apparaîtra maintenant sur les pages de vos modules BoostMyShop"
"Get help from BoostMyShop.com","Aide depuis BoostMyShop.com"
"HELP","AIDE"
"Flush documentation cache","Vider le cache de la documentation"
"You are using a Beta version","Vous utilisez une version beta"
"New version available","Nouvelle version disponible"
"Up to date","À jour"
