"Order #","Commande "
"Current Order","Commande courante"
"Print shipping label","Imprimer les &eacute;tiquettes transporteur"
"Print documents","Imprimer les documents"
"Download documents","T&eacute;l&eacute;charger les documents"
"Download shipping label file","T&eacute;l&eacute;charger<br>les &eacute;tiquettes transporteur"
"Picking list","Liste de preparation"
"Print picking list","Imprimer la liste de pr&eacute;paration"
"Download picking list","Telecharger la liste de pr&eacute;paration"
"Shipping softwares","Logiciels transporteur"
"Download ","Telecharger "
" file"," fichier"
"Import Tracking","Importer les No de tracking"
"Shipped","Exp&eacute;di&eacute;e"
"Reserve","Reserver"
"Release","Lib&eacute;rer"
"No Stock Management","Pas de gestion de stock"
"Preparation","Pr&eacute;paration"
"Weight","Poids"
"Packages","Nombre de colis"
"Ship Mode","Mode de livraison"
"None","Aucun"
"You can use the following codes :","Les codes suivants sont utilisables"
"Template Name","Nom du mod&egrave;le"
"Shipping Method","M&eacute;thode d'expedition"
"Ship to Name","Nom de livraison"
"Remain to Ship","Restant &agrave; livrer"
"Summary","R&eacute;sum&eacute;"
"Payment validated","Paiement valid&eacute;"
"Preparation<br>Warehouse","D&eacute;pot<br>pr&eacute;paration"
"Add to Selection","Ajouter a la selection"
"Download Picking list","Telecharger la liste des produits"
"Download preparation pdf","T&eacute;l&eacute;charger le PDF de pr&eacute;paration"
"Select orders","S&eacute;lection des commandes"
"Print picking list","Imprimer la liste des produits"
"Download picking list","T&eacute;l&eacute;charger la liste des produits"
"Create shipments/invoices","Cr&eacute;er les exp&eacute;ditions et factures"
"Download documents","T&eacute;l&eacute;charger les documents"
"Process orders","Traiter les commandes"
"Shipping label","Etiquettes transporteurs"
"Notify customers","Avertir les clients"
"Finish","Terminer"
"Save Rule","Sauvegarder la regle"
"Delete Rule","Supprimer la regle"
"Created items","Elements cr&eacute;&eacute;s"
"Add to Selection","Ajouter a la selection"
"Download Picking list","Telecharger la liste des produits"
"Download preparation pdf","Telecharger le PDF de preparation"
"View order","Voir la commande"
"Remove","Enlever"
"Select","Selectionner"
"Invoice created","Facture cr&eacute;&eacute;e"
"Invoice not created","Facture non cr&eacute;&eacute;e"
"Shipment created","Expedition cr&eacute;&eacute;e"
"Shipment not created","Expedition non cr&eacute;&eacute;e"
"Shipped","Exp&eacute;di&eacute;e"
"Stock Insufficient","Stock insuffisant"
"Order Preparation","Pr&eacute;paration de commande"
"Full stock Orders","Commande compl&egrave;tes"
"Fullstock Orders","Commande compl&egrave;tes"
"Stockless Orders","Commande incompl&egrave;tes"
"Ignored Orders","Commandes ignor&eacute;es"
"Selected Orders","Commandes s&eacute;lectionn&eacute;es"
"Force Refresh","Forcer la mise &agrave; jour"
"Data saved","Données sauvegardées"
"Information saved.","Donn&eacute;es enregistr&eacute;es"
"All orders have been processed.","Toutes les commandes ont &eacute;t&eacute; trait&eacute;es"
"Picking list printed","Liste de pr&eacute;paration imprim&eacute;e"
"Add orders to selected orders","Ajouter aux commandes s&eacute;lectionn&eacute;es"
"No order to add","Aucune commande &agrave; ajouter"
"Order successfully added.","Commande ajout&eacute;e"
"Unable to add order","Impossible d'ajouter la commande"
"Orders successfully removed.","Commande enlev&eacute;e"
"Create shipments and invoices","Cr&eacute;ation des exp&eacute;ditions et factures"
"An error occured while uploading file.","Une erreur est survenue lors du t&eacute;l&eacute;chargement du fichier"
"File successfully imported: ","Fichier import&eacute; avec succ&egrave;s"
"Order preparation complete","Pr&eacute;paration de commande termin&eacute;e"
"Customers successfully notified.","Clients notifi&eacute;s"
"Changes successfully saved","Modifications enregistr&eacute;es"
"An error occured while saving changes: ","Une erreur est survenue"
"order_comments","Commentaires commandes"
"Dispatch pendings orders","R&eacute;partition des commandes en attente"
"Tracking import complete : %s tracking imported, %s tracking skipped","Import des num&eacute;ros de suivi termin&eacute; : %s num&eacute:ros import&eacute;s, %s num&eacute;ros ignor&eacute;s"
"Loaded %s rows","%s lignes charg&eacute;s"
"Export saved in %s","Export enregistr&eacute; dans %s"
"Order ","Commande "
"Total","Total"
"Payment","Paiement"
"Carrier","Transporteur"
"Reserved","R&eacute;serv&eacute;"
"Picking List","Liste de preparation"
"Order Comments","Commentaires de commandes"
"Add fixed weight","Ajouter un poids fixe"
"Add fixed weight per product","Ajouter un poids fixe par produit"
"Add fixed percent","Ajouter un pourcentage"
"Edit Carrier Template","Editer le mod&egrave;le transporteur"
"XML export","Export XML"
"Template information","Informations du mod&egrave;le"
"Associated Shipping Method","M&eacute;thode de livraison associ&eacute;e"
"Client directory name","Code du r&eacute;pertoire client"
"Export file (Magento to carrier software)","Fichier d'export (magento vers logiciel transporteur)"
"File name","Nom du fichier"
"Witness File name","Nom du fichier t&eacute;moin"
"File Format","Format de fichier"
"Field Separator","S&eacute;parateur de champs"
"Field Delimiter","D&eacute;limiteur de champs"
"Line end","Fin de ligne"
"Add header line","Ajouter la ligne d'entete"
"Custom header","Entete personnalis&eacute;e"
"Remove accent","Supprimer les accents"
"Import file (Carrier software to Magento)","Fichier d'import (Logiciel transporteur vers Magento)"
"Skip first record","Ignorer la premi&egrave;re ligne"
"Position","Position"
"Size","Taille"
"Content","Contenu"
"Format","Format"
"Format argument","Argument de format"
"Delete","Supprimer"
"Carrier Templates","Modele transporteur"
"Create new template","Cr&eacute;er un nouveau mod&egrave;le"
"Download order list for shipping Software","T&eacute;l&eacute;charger la liste des commandes pour les logiciels transporteurs"
"Download for","T&eacute;l&eacute;charger pour"
"Import tracking file","Importer le fichier de num&eacute;ro de suivi"
"Import","Importer"
