"Create New Product Return","Créer un nouveau RMA"
"Default Validity Duration","Durée de validité par defaut"
"Allow Customer Product Return Request","Autoriser les demandes de retour produit"
"Email new request","Email nouvelle demande de rma"	
"Template New Product Return Request","Template Nouveau retour produit"	
"Template Product Return Refused","Template retour produit refusé" 
"Template Product Return Accepted","Template retour produit accepté"
"Template Products received","Template produits reçus"
"Template Products received but refused","Template produits reçus mais refusés"
"Template Expertise product","Template produit en cours d'expertise"
"Template RMA Accepted","Template RMA accepté"
"Template RMA Refused","Template RMA refusé"
"Fake product_id","Faux produit id"
"Company Address","Adresse de la société"
"Perform an action","Réaliser une action"
"Request Product Return for Order #%s","Demande de retour produit pour la commmande no %s"
"Updated At","Mise a jour le"
"Sales Order","Commande"
"Customer Phone","Téléphone client"
"Customer Email","Email client"
"Customer Address","Adresse client"
"requested","Nouvelle demande"
"product return accepted","Retour produit accepté"
"product return refused","Retour produit refusé"
"product received","Produits reçus"
"product received but refused","Produits reçus mais refusés"
"Notify customer","Notifier le client"
"Delete","Supprimer"
"Created At","Créé le"
"expertise product","Vérification des produits"
"rma accepted","Rma accepté"
"rma refused","Rma refusé"
"New Product Return","Nouveau retour produit"
"Product Return","Retour Produit"
"Customer","Client"
"Reason","Raison"
"Products","Produit"
"Product Returns","Retour produit"
"cancel","Rétractation"
"defect","Défectueux"
"Aftersale Service comments :","Commentaires SAV :"
"Product","Produit"
"Qty","Qte"
"Comments","Commentaires"
"Customer comments :","Commentaires client"
"Valid until : ","Valide jusqu'au "
"Valid until","Valide jusqu'au"
"Product Return #%s","Retour produit Nº %s"
"Product Return #","Retour produit Nº"
"I agree","J'accepte"
"Submit","Valider"
"Order","Commande"
"Request a new Product Return","Nouvelle demande de retour produit"
"You have no product returns available.","Vous n'avez pas de retour produit valide"
"Main Information","Informations générales"
"Phone","Téléphone"
"Address","Adresse"
"Additional Comments","Commentaires additionnels"
"Submit request","Envoyer la demande"
"You have no orders availabe for product returns.","Vous n'avez pas de commande valide pour un retour produit"
"Order Total","Total de la commande"
