"Supply planed on ","Approvisionnement pr&eacute;vu le "
"Available Qty","Qte disponible"
"Suppliers","Fournisseurs"
"New supplier","Nouveau fournisseur"
"Edit supplier","Editer un fournisseur"
"Serial","Num&eacute;ro de s&eacute;rie"
"Manufacturer","Fabricant"
"Supply for orders","Appro pour commandes"
"Supply for mini qty","Appro pour seuil"
"Details","Details"
"Dead Line","Date limite"
"Dead Line<br>for Purchase","Date limite pour achat"
"Summary","R&eacute;sum&eacute;"
"Add Products","Ajouter des produits"
"Deliveries","Livraisons"
"Product serial numbers","Num&eacute;ros de s&eacute;rie"
"Send to supplier","Envoyer au fournisseur"
"Accounting","Comptabilit&eacute;"
"Import from Supply Needs","Importer des besoins d'appro."
"Are you sure ?","Etes vous sur ?"
"Purchase Order #","Commande fournisseur no "
"Delivery Date","Date de livraison estim&eacute;e"
"Supplier","Fournisseur"
"Delivery %","% livr&eacute;"
"Missing Prices","Prix manquants"
"Datas verified","Donn&eacute;es verifi&eacute;s"
"Unit Price","PU"
"Unit Price + Cost","Prix unitaire + couts"
"Unknown","Inconnu"
"Excellent","Excellent"
"Good","Bon"
"Average","Moyen"
"Bad","Mauvais"
"Prefered stock level","Seuil appro."
"Needed Qty","Qte necessaire"
"Delivery Date","Date de livraison"
"Miscellaneous","Divers"
"Manufacturers","Fabricants"
"New manufacturer","Nouveau fabricant"
"Edit manufacturer","Editer un fabricant"
"Orders","Commandes"
"Contacts","Contacts"
"Website","Site"
"Mail","Mail"
"Priority","Priorit&eacute;"
"Create Purchase Order","Creer une commande fournisseur"
"Import in Purchase Order","Import dans la commande fournisseur"
"Rate","Taux"
"Add","Ajouter"
"Order not longer exist.","Cette commande n'existe plus"
"Can not do shipment for order.","Impossible de cr&eacute;er l'exp&eacute;dition"
"Contact Saved","Donn&eacute;es enregistr&eacute;es"
"Manufacturer Created","Fabricant cr&eacute;&eacute;"
"Manufacturer Saved","Donn&eacute;es enregistr&eacute;es"
"Order successfully Created","Commande cr&eacute;&eacute;e"
"Order successfully Deleted","Commande supprim&eacute;e"
"Products added","Produits ajout&eacute;s"
"Supply Needs added","Besoin d'approvisionnement ajout&eacute;s"
"Purchase Order #","Commande fournisseur no "
"Purchase order","Commande fournisseur"
"Supplier notified","Fournisseur notifi&eacute;"
"Order successfully Saved","Donn&eacute;es enregistr&eacute;es"
"An error occured","Une erreur est survenue"
"Products delivery date successfully Updated","Date de livrison mise &agrave; jour"
"Delivery date incorrect","Date de livraison incorrecte"
"Product already exists in order","Produit d&eacute;ja pr&eacute;sents dans la commande"
"Error adding Product","Une erreur est survenue"
"Supplier Created","Fournisseur cr&eacute;&eacute;"
"Supplier Saved","Donn&eacute;es enregistr&eacute;es"
"Refresh Supply Needs","Mettre &agrave; jour"
"Tax Rate deleted","Taux supprim&eacute;"
"Invalid transactional email code: ","Code d'email transactionnel invalide"
"Purchase Settings","Param&egrave;tres achat"
"Purchase Orders","Commandes fournisseurs"
"Inquiry","Demande de prix"
"Waiting for delivery","Attente de livraison"
"Shipping costs","Frais de transport"
"Custom duties","Autres frais"
"Import Cost","Droits de douane"
"Total (excl tax).","Total HT"
"Total (excl tax)","Total HT"
"Billing Method : ","Methode de facturation : "
"Carrier : ","Transporteur : "
"Comments : ","Commentaires"
"WEEE","Ecotax"
"Total HT","Total HT"
"Total TTC","Total TTC"
"By Product Qty","Par quantite de produit"
"By Product amount","Par montant de produit"
"By Weight","Par poids de produit"
"Add days","Ajouter des jours"
"Add percent","Ajouter un pourcentage"
"Edit Contact","Editer un contact"
"Edit Supplier","Editer un fournisseur"
"Entity","Entit&eacute;"
"Lastname","Pr&eacute;nom"
"Firstname","Nom"
"Function","Fonction"
"Phone","T&eacute;l&eacute;phone"
"Country","Pays"
"Comments","Commentaires"
"Contacts List","Contacts"
"New Contact","Nouveau contact"
"Are you sure ?","Etes vous sur ?"
"Edit Contact","Editer un contact"
"Edit Manufacturer","Editer un fabricant"
"City","Ville"
"Main Contact","Contact"
"Address 1","Addresse 1"
"Address 2","Addresse 2"
"Zip Code","Code postal"
"Website","Site"
"Magento Manufacturer","Fabricant magento"
"Manufacturers List","Liste des fabricants"
"Create New Manufacturer","Cr&eacute;er un fabricant"
"Accounting","Comptabilit&eacute;"
"Invoice Date","Date de facturation"
"Invoice Ref","Reference facture"
"Payment Date","Date de paiement"
"Supplier Order Ref","Reference commande fournisseur"
"Extended costs are external","Frais d'approche externes"
"Datas verified","Donn&eacute;es verifi&eacute;es"
"Paid","Pay&eacute;"
"Purchase nature","Nature achat"
"Create New delivery","Nouvelle livraison"
"All products delivered","Tous les produits sont recus"
"Target warehouse","Dépot cible"
"Picture","Image"
"Already Delivered Qty","Qte déja livrée"
"Remanining Qty","Qte restante"
"Barcode","Code barre"
"Deliveries","Livraisons"
"Warehouse","D&eacute;pot"
"Some products buy price are not set","Certains prix ne sont pas saisis"
"Please fill delivery date field","Veuillez saisir la date previsionnelle de livraison"
"Currency","Devise"
"Order Date","Date de la commande"
"Tax Rate","Taux de taxe"
"Tax Rates","Taux de taxe"
"Shipping and customs duties","Pour livraison et autres frais"
"Delivery Date","Date de livraison"
"Currency Change Rate","Taux de change"
"Payment Type","Type de paiement"
"Shipping Cost","Frais de livraison"
"Custom duties","Autres frais"
"Carrier","Transporteur"
"Delivery Progress","% de livraison"
"Total (incl tax)","Total TTC"
"Supplier Ref","Reference<br>fournisseur"
"Buy Price","Prix d'achat"
"Sale Price","Prix de vente"
"Last Price HT","Dernier prix achat"
"Weee","Ecotax"
"Total HT","Total HT"
"Margin","Marge"
"Save sale price","Enregistrer le prix de vente"
"Select products to add and click on save button","S&eacute;lectionnez les produits &agrave; ajouter et cliquer sur le bouton enregistrer"
"Send order to supplier","Transmettre la commande au fournisseur"
"Fill comments and click button to send order to supplier by email","Veuillez saisir les commentaires et cliquer sur le bouton envoyer"
"Supplier email address","Addresse email du fournisseur"
"Supplier notified on","Fournisseur notifi&eacute; le "
"Set order status to pending for delivery after sending email","Change l'&eacute;tat de la commande &agrave; en attente de livraison"
"Send to supplier","Envoyer"
"Order List","Liste des commandes"
"Are you sure ?","Etes vous sur ?"
"Add Manufacturer","Ajouter un fabricant"
"Manufacturer Reference","Reference fabricant"
"Last Unit Price","Dernier prix achat"
"Stock","Stock"
"Add Supplier","Ajouter un fournisseur"
"Supplier Reference","R&eacute;f&eacute;rence fournisseur"
"Price Position","Positionnement prix"
"Purchase Settings","Param&egrave;tres achat"
"Exclude from Supply Needs","Exclure des besoins d'approvisionnement"
"Default Purchase Tax Rate","Taux de taxe achat par d&eacute;faut"
"Next Supply Date","Prochaine date d'approvisionnement"
"Default Supply Delay","D&eacute;lais d'approvisionnement par d&eacute;faut"
"Refresh supply need","Mettre &agrave; jour les besoins d'approvisionnement"
"Manual Supply Need","Besoins d'approvisionnement manuel"
"Quantity to purchase","Qte &agrave; commander"
"Dead line","Date limite"
"Supply Need Summary","Besoins d'approvisionnement"
"Needed qty (all)","Qte totale necessaire"
"Needed qty (valid orders)","Qte necessaire pour les commandes valides"
"Manual supply need","Besoin d'appro manuel"
"Waiting for delivery","En attente de livraison"
"Are you sure ?","Etes vous sur ?"
"Associated Manufacturers","Fabricants associ&eacute;s"
"Manufacturers","Fabricants"
"Official ?","Officiel ?"
"Range","Plage"
"Add Manufacturer","Ajouter un fabricant"
"Main Contact","Contact principal"
"Account Information","Compte"
"Account Login","Identifiant"
"Account Password","Mot de passe"
"After Sale Information","Service apr&egrave;s vente"
"Purchase Information","Informations achat"
"Sale Online","Vente en ligne"
