"Planning","Planning"
"Your order should be delivered on <b>%s</b>","Votre commande devrait etre livrée le <b>%s</b>"
"At worst, we commit you deliver on <b>%s</b>","Nous nous engageons à vous livrer avant le <b>%s</b>"
"Those information implies we receive you payment under %s days","Ces informations impliquent que nous recevions votre paiement sous %s jours"
"Prepare","Préparation"
"Ship","Expédition"
"Delivery","Livraison"
"No planning","Pas de planning"
"Planning saved","Planning enregistré"
"Planning reseted","Planning réinitialisé"
"Planning created","Planning créé"
"Planning updated","Planning mis à jour"
"New range added","Plage ajoutée"
"Data saved","Données sauvegardées"
"Carriers list updated","Liste des mode d'expédition mise à jour"
"Average supply delay : %s days","Délai d'approvisionnement moyen : %s jours"
"Average supply delay : ","Délai d'approvisionnement moyen : "
"Order placed on ","Commande passée le "
"Payment validated on ","Paiement validé le "
"From value must be lower than to value","La valeur de depart doit etre inferieure a la valeur de fin"
"Ranges must be distinct","Les plages ne doivent pas se chevaucher"
"Product availability ranges","Plages de disponibilité produit"
"Add Range","Ajouter une plage"
"Default Label","Libellé par défaut"
"days","jours"
"Planning is not available yet","Planning non disponible actuellement"
"Click here to force planning creation","Cliquez ici pour forcer la création du planning"
"Anounced delivery date","Date de livraison annoncée"
"Anounced Max delivery date","Date de livraison max"
"'Delivery<br>planed to","Livraison prévue le "
"Validated","Validée"
"Product<br>Supply","Approvisionnement produits"
"Assembly /<br>Preparation","Assemblage/Préparation"
"Exceptions","Exceptions"
"Shipping Delay","Délais de livraison"
"Order placed","Commande passée le"
"Considered on","Considérée le"
"Delivery<br>planed to","Livraison prévue le "
"Sales Order Planning","Planning commande client"
"Order Consideration Date Calculation","Calcul de la date de considération"
"Consider Order when placed","Considérer la commande lorsqu elle est passée"
"Consider Order when invoiced","Considérer la commande lorsqu elle est facturée"
"Consider Order on Payment Validated","Considérer la commande lorsqu'elle est payée"
"Include holy days","Considérer une commande en jour férié"
"Consider Order for Tomorow if placed after","Considérer la commande au lendemain si passée après"
"(hour with 2 digits)","(Heure sur 2 chiffres)"
"Order Ready to Prepare Date Calculation","Calcul de la date à laquelle la commande est prete a etre préparée"
"Avoid holy days","Eviter les jours fériés"
"Worst date calculation Mode","Mode de calcul du risque"
"Worst date calculation value","Valeur pour le calcul du risque"
"Order Preparation Duration","Durée de préparation d une commande"
"Default Shipping Delay","Délai de livraison par défaut"
"Order Shipping Date Calculation","Calcul de la date d'expédition"
"Order Delivery Date Calculation","Calcul de la date de livraison chez le client"
"Quote options","Autres options"
"Immediate payment methods","Modes de paiement immédiat"
"Delayed payment method delay","Délai pour les modes de paiements différés"
"Show planning in Cart","Afficher le planning dans le panier"
"Show debug information in Cart","Afficher les informations de debuggage dans le panier"
"Show planning in frontend Sales History","Afficher le planning dans la consultation d'une commande par le client"
"Sku","Sku"
"Product","Produit"
"Available Qty","Qte dispo"
"Supply Delay","Delai d'appro"
"Allow backorders","Autoriser cmd sans stock"
"Supply date","Date d'appro"
"Out of stock Period","Periode de rupture"
"Is Saleable","Vendable"
"Status","Statut"
"View","Voir"
"Refresh","Actualiser"
"In stock","En stock"
"Available under delay","Disponible sous delai"
"Back in stock at date","Appro le"
"Out of stock and not available until","Epuisé jusqu'au"
"Out of stock without information","Epuise sans informations"
"Undefined","Indefini"
"Product Availability Statuses","Statut de disponibilités des produits"
"Availability Status Refreshed","Statuts actualisés"
"Out Of Stock Period","Période de rupture"
"From Date","Date de début"
"To Date","Date de fin"
"Enabled","Activé"
"Refresh products availability statuses","Actualisation des disponibilités produits"
"From : %s","De : %s"
"Debut : %s","Fin : %s"
"Back in stock at %s","En stock le %s"
"In Stock","En stock"
"Out of stock until %s","Indisponible jusqu'au %s"
"Out of Stock","Epuisé"
"No stock information available","Aucune information disponible"
"Delivery date","Date estimée de livraison"
"Quote for today<br>","Estimation pour aujourdui<br>"
"No payment method<br>","Pas de methode de paiement definie<br>"
"Beginning date is : ","Date de debut : "
"Full stock estimated to %s <br>","Produit en stock estimee au %s <br>"
"add %s days to prepare order<br>","Ajoute %s jours pour preparer la commande <br>"
"Shipping date estimated to %s <br>","Date d'expedition estimee au %s <br>"
"Delivery date estimated to %s <br>","Date de livraison estimee au %s <br>"
"add %s days to calculate max date<br>","Ajoute %s jours pour calculer la date maximum<br>"
"Availability Status","Statut de disponibilité"
"Available qty","Quantité disponible"
"Supply delay","Délai d'approvisionnement"
"Allow Backorders","Commandes en rupture"
"Out of stock period","Période de rupture"
"Is saleable","Vendable"
"Available date","Date de disponibilité"
"Late orders","Commandes en retard"
"Shipping name","Livraison"
"Missing products","Produits manquants"
"Initial delivery date","Date intiale"
"Estimated delivery date","Date estimée"
"Late","Retard"
"Order #","Commande #"
"Product availability status is not available.","Disponibilité produit non disponible"
"Shipped under %s days","Expédié sous %s jours"
"Refresh only selected","Rafraichir les produits sélectionées"
"Refresh only missing","Rafraichir les status manquant"
"Refresh All","Rafraichir tout les produits"
"Enable planning","Activer le planning"
"Save","Enregistrer"
"Back","Retour"
"Product Availability Status","Statut de disponibilités d'un produit"
"Product Availability Ranges","Plages de disponibilités d'un produit"
"Yes","Oui"
"No","Non"
"Yes, notify customer","Oui, prevenir le client"
"Reset","Reinitialiser"
"Auto create missing product availability status","Créer automatiquement les status de disponibilités des produits"
"Create missing product availability status of products on any product view","Créer les status de disponibilités manquant des produits sur simple consultation"
"Calculate product availability status for non stock managed product","Calcule le statut de disponibilité des produits sans gestion de stock"
"ERP can calculate the product availability status of Configurable and Grouped products","Calcule le statut de disponibilité des produit configurabel et groupés"
"This is only a configuration screen for the sales order planning step called Delivery.","Cet écran est dédié à la configuration de l'étape Livraison du planning des commandes."
