"Display","Affichage"
"Screen width","Largeur de l'écran"
"Screen height","Hauteur de l'écran"
"Remove scroll bars","Masquer les barres de défilement"
"Hide product row when qty reached","Masquer les lignes produits lorsque la quantité est scannée"
"Affect product to warehouse","Affecter les produits au dépot"
"Prevent location change if product is in stock in another location","Empecher le changement d'emplacement si le produit est en stock dans un autre emplacement"
"Purchase order","Commande fournisseur"
"Scan location after scanning product","Scanner l'emplacement après avoir scanné le produit"
"Mobile user agent","User-Agent mobile"
"Free delivery","Livraison libre"
"Purchase order,"Bon de commande fournisseur"
