"Reports to display","Rapports à afficher"
"Filters","Filtres"
"Default group by","Regroupement par défaut"
"Default period","Période par défaut"
"Order statuses","Statuts de commandes"
"Days for old stock","Nombre de jours pour le view stock"
"Fill the number of days to consider a product as old stock","Valeur en jour au delà de laquelle un stock est considéré vieux"
"Best seller","Meilleures ventes"
"Please select filters to display report","Veuillez sélectionner un filtre"
"Group by","Grouper par"
"Today","Aujourd'hui"
"Yesterday","Hier"
"This week","Cette semaine"
"This month","Ce mois"
"Last month","Mois dernier"
"Last 30 days","30 derniers jours"
"Last 3 months","3 derniers mois"
"Last 6 months","6 derniers mois"
"Last 12 months","12 derniers mois"
"This year","Cette année"
"Lifetime","Depuis toujours"
"hour","heure"
"day","jour"
"week","semaine"
"month","mois"
"Product view","Vue produit"
"ERP view","Vue ERP"
"No data available","Aucune donnée disponible"
"customer","Client"
"reviews","Commentaires"
"Paymentmethod","Méthode de Paiement"
"Shippingmethod","Méthode d'expédition"
"New customers","Nouveaux clients
"Customers per store","Clients par magasin"
"Customers per group","Clients par groupe"
"Sales total per customer group","Ventes par groupe"
"Top customer","Meilleurs clients"
"Customers per country","Clients par pays"
"Approved reviews","Commentaires validés"
"Best rated products","Produits les mieux notés"
"Worst rated products","Produits les moins bien notés"
"Orders per payment method","Nombre de commandes par méthode de payment"
"Orders total per payment method","Total de commandes par méthode de payment"
"Refund total","Total remboursé"
"Most refunded products","Produits les plus remboursés"
"Creditmemos","Remboursements"
"Best seller (quantity)","Meilleures ventes (nombre)"
"Best seller (total)","Meilleures ventes (total)"
"Invoiced per country", "Facturé par pays"
"Invoiced per store","Facturé par magasin"
"Top category sales","Meilleures catégories"
"Cumulative sales","Ventes cumulées"
"Orders per shipping method","Commandes par méthode d'expédition"
"Total per shipping method","Chiffre d'affaire par méthode d'expédition"
"PO per supplier","Commandes par fournisseur"
"Incoming PO","Commandes fournisseur attendues"
"PO distribution per Supplier","Répartition des commandes par fournisseur"
"Purchased total","Total acheté"
"Warehouse stock value","Valeur du stock"
"Old stock","Stock ancien"
"Refund percent","%"
"Progress","Avancement"
"Po","Cmd"
"Filters for order statuses are not set, please configure it in the %sconfiguration%s","Les filtres sur les statuts des commandes ne sont pas configurés, veuillez le faire dans la %sconfiguration%s"
"Click on an item to get more details","Cliquez sur un éléments pour plus de détails"
"couponcode","Coupon codes"
"If you select some statuses, only the sales orders with these statuses will be used in report results.","Si vous sélectionnez des status, seulement les commandes client ayant ces status seront utilisées dans les rapports."
