"License activation","Activation de la licence"
"Extension version","Version de l'extension"
"Activation key","Clef d'activation"
"Remote activation :","Activation distante :"
"License code","Code de la licence"
"Google Trusted Stores settings","Configuration de Google Trusted Stores"
"Google Trusted Stores Account Id","Identifiant du compte Google Trusted Stores"
"Google Merchant Account Id","Identifiant du compte Google Merchant"
"Country","Pays"
"Language","Langue"
"Trusted Stores Badge position","Position du badge"
"Trusted Stores Badge container style","Style du conteneur du badge"
"Google shopping products id template","Template pour l'identifiant de produit Google Shopping"
"Orders confirmation page settings","Configuration de la page de confirmation des commandes"
"Estimated delivery date offset","Jours supplémentaires pour la date de livraison estimée"
"Estimated shipment date offset","Jours supplémentaires pour la date d'envoi estimée"
"Shipments feed's settings","Configuration du flux des envois"
"Filepath","Chemin du fichier"
"Filename","Nom du fichier"
"Get the shipments for","Récupération des envois pour"
"Shipments feed Url","Url du flux des envois"
"Cancellations feed's settings","Configuration du flux des annulations"
"Get the cancellations for","Récupération des annulations pour"
"Cancellations feed Url","Url du flux des annulations"
"Feeds update settings","Configuration de la mise à jours des flux"
"Cron job schedule","Planification cron"
"Enable cron job reporting","Activer les rapport"
"Send the reports to ","Envoyer les rapports à"
"Report title","Titre du rapport"
"Fill this field with your google trusted stores id","Remplir ce champ avec votre identifiant Google Trusted Stores"
"Fill this field with your google merchant id","Remplir ce champs avec votre identifiant Google Merchant"
"Template for the google shopping products' id (default : {sku})","Template pour l'identifiant des produits Google Shopping (par défaut : {sku})"
"Css rules to apply to the container","Règles css à appliquer au conteneur"
"Days to add to the order date (default 0)","Nombre de jours à ajouter à la date de commande (par défaut 0)"
"Fill this field with the path where the shipments feed will be saved","Endroit où le fichier sera sauvegardé"
"Fill this field with the path where the cancellations feed will be saved","Endroit où le fichier sera sauvegardé"
"Fill this field with the filename of the shipments feed","Nom du fichier"
"Fill this field with the filename of the cancellations feed","Nom du fichier"
"Number of days to include in the shipments feed","Nombre de jours à inclure dans le flux"
"Number of days to include in the cancellations feed","Nombre de jours à inclure dans le flux"
"Emails must be separated with a comma (,).","Les adresses emails doivent etre séparées par une virgule (,)."
"last update : ","Dernière mise à jour : "
"The data feed has not been generated yet","Le flux n'a pas été encore généré"
"Test feed","Tester le flux"
"Download feed","Télécharger le flux"

