"All Tasks/Events","Tutte le attività / Eventi"
"Late Tasks/Events","Attività / Eventi in ritardo"
"My Tasks","I miei compiti"
"Author","Autore"
"Target","Bersaglio"
"Show/Hide","Mostra / Nascondi"
"Show / Hide New Task","Mostra / Nascondi nuova attività"
"Notification Date","Data di notifica"
"Created at ","Creato a"
"Notify","Comunica"
"Organizer","Organizzatore"
"Entity","Entità"
"Created at ","Creato a"
"Notify Target","Comunica Bersaglio"
"Notification Date","Data di notifica"
"Origin","Origine"
"Priority","Priorità"
"Target","Bersaglio"
"Notify","Comunica"
"Dead line","Dead line"
"Category","Categoria"
"Complete","Completa"
"Caption","Didascalia"
"Description","Descrizione"
"Show / Hide New Task","Mostra / Nascondi nuova attività"
"My Dashboard","Mio panello di controllo"
