"At worst, we commit you deliver on <b>%s</b>","Nella peggiore delle ipotesi, ci impegniamo di consegnare il <b>%s </ b>"
"Those information implies we receive you payment under %s days","Tali informazioni implica che si riceve il pagamento entro %s giorni"
"Prepare","Preparare"
"Ship","Spedire"
"Delivery","Consegna"
"No planning","Nessuna pianificazione"
"Planning saved","Pianificazione salvato"
"Planning reseted","Pianificazione azzerato"
"Planning created","Pianificazione creato"
"Planning updated","Pianificazione aggiornato"
"New range added","Nuova gamma aggiunto"
"Data saved","I dati salvati"
"Carriers list updated","Lista corriere aggiornato"
"Average supply delay : %s days","Ritardo media del fornitura %s giorni: "
"Average supply delay : ","Ritardo media del fornitura:"
"Order placed on ","Ordine effettuato il"
"Payment validated on ","Pagamento Convalidata il "
"From value must be lower than to value","Il valore Dal deve essere inferiore al valore Al"
"Ranges must be distinct","Intervalli devono essere distinti"
"Product availability ranges","La disponibilità del prodotto varia"
"Add Range","Aggiungi Gamma"
"Default Label","Default Etichetta"
"days","giorni"
"Planning is not available yet","La pianificazione non è ancora disponibile"
"Click here to force planning creation","Clicca qui per forzare la creazione di pianificazione"
"Anounced delivery date","Annunci la data di consegna"
"Anounced Max delivery date","Annunci data di consegna massima"
"Delivery<br>planed to","Consegna <br> previsto a"
"Validated","Convalidato"
"Product<br>Supply","Prodotto <br> Fornitura"
"Assembly /<br>Preparation","Montaggio / <br> Preparazione"
"Exceptions","Eccezioni"
"Shipping Delay","Ritardo Spedizione "
"Order placed","Ordine effettuato"
"Considered on","Considerato il"
"Delivery<br>planed to","Consegna <br> previsto a"
"Sales Order Planning","Pianificazione al Ordine di acquisto"
"Order Consideration Date Calculation","Calcolo Data di Considerazione del ordine"
"Consider Order when placed","Considerare Ordine al momento dell'immissione"
"Consider Order when invoiced","Considerare Ordine momento della fatturazione"
"Consider Order on Payment Validated","Considerare Ordine al momento del pagamento convalidato"
"Include holy days","Includi giorni festivi"
"Consider Order for Tomorow if placed after","Si consideri d'ordine per Domani se collocato dopo"
"(hour with 2 digits)","(ora con 2 cifre)"
"Order Ready to Prepare Date Calculation","Ordine pronta a preparare Data di Calcolo"
"Avoid holy days","Evitare giorni festivi"
"Worst date calculation Mode","Modalità di calcolo della data peggiore"
"Worst date calculation value","Calcolo valore della date Peggiore "
"Order Preparation Duration","Durata del Ordine in preparazione "
"Default Shipping Delay","Default ritardo nella spedizione "
"Order Shipping Date Calculation","Calcolo data della spedizione del ordine"
"Order Delivery Date Calculation","Calcolo data della consegna del ordine"
"Quote options","Opzioni preventivi"
"Immediate payment methods","Metodi di pagamento immediati"
"Delayed payment method delay","Metodo di pagamento in ritardo "
"Show planning in Cart","Mostra la pianificazione nel carrello"
"Show debug information in Cart","Mostra informazioni di debug nel carrello"
"Show planning in frontend Sales History","Mostra Pianificazione del frontend dal storico"
"Sku","Sku"
"Product","Prodotto"
"Available Qty","Quantità Disponibile "
"Supply Delay","Ritardo del Fornitura "
"Allow backorders","Lasciare backorders"
"Supply date","Fornitura data"
"Out of stock Period","Periodo del Esaurito "
"Is Saleable","È Vendibile"
"Status","Stato"
"View","Visualizza"
"Refresh","Aggiorna"
"In stock","In stock"
"Available under delay","Disponibile in ritardo"
"Back in stock at date","Torna in giacenza alla data"
"Out of stock and not available until","Esaurito e non disponibile fino"
"Out of stock without information","Esaurito senza informazione"
"Undefined","Indefinito"
"Product Availability Statuses","Stato della Disponibilità del prodotti"
"Availability Status Refreshed","Stato di disponibilità aggiornata"
"Out Of Stock Period","Out Of Stock Periodo"
"From Date","Dalla Data"
"To Date","Per Data"
"Enabled","Attivato"
"Refresh products availability statuses","Aggiorna stato della disponibilità dei prodotti "
"From : %s","Da:%s"
"Debut : %s","Debutto:%s"
"Back in stock at %s","Di nuovo in stock al %s"
"In Stock","In magazzino"
"Out of stock until %s","Non disponibile fino a %s"
"Out of Stock","Esaurito"
"No stock information available","Nessun stock informazione disponibile"
"Delivery date","Data di consegna"
"Quote for today<br>","Quota per oggi <br> "
"No payment method<br>","Nessun metodo di pagamento <br>"
"Beginning date is : ","Data di inizio è il seguente:"
"Full stock estimated to %s <br>","Stock completo stimata a %s <br>"
"add %s days to prepare order<br>","aggiungere %s giorni per preparare ordine<br> "
"Shipping date estimated to %s <br>","Data di trasporto stimata%s <br>"
"Delivery date estimated to %s <br>","Data di consegna stimata%s <br>"
"add %s days to calculate max date<br>","aggiungere %s giorni per calcolare data max<br> "
"Availability Status","Stato di disponibilità"
"Available qty","Qtà Disponibile "
"Supply delay","Ritardo Fornitura "
"Allow Backorders","Lasciare arretrati"
"Out of stock period","Out of stock periodo"
"Is saleable","È vendibile"
"Available date","Date Disponibilità"
"Late orders","Ordini ritardate"
"Shipping name","Nome del spedizione"
"Missing products","Prodotti mancanti"
"Initial delivery date","Data di consegna iniziale"
"Estimated delivery date","Data di consegna stimata"
"Late","In ritardo"
"Order #","Ordine n."
