"Action","Handeling"
"Advanced","Uitgebreid""
"Advanced Reports","Uitgebreide rapporten"
"Advanced Reports","Uitgebreide rapporten"
"Aggregation Options","Aggregatieopties"
"aheadWorks Extensions","aheadWorks uitbreidingen"
"All Websites","Alle websites"
"Apply","Toepassen"
"Are you sure?","Bent u zeker?"
"Background color","Achtergrondkleur"
"Bestsellers","Bestsellers"
"Cache clean error","Fout tijdens cache wissen"
"Cache is clear now","Cache is leeg nu"
"Chart","Grafiek"
"Chart color","Grafiekkleur"
"Charts Options","Grafiekopties"
"Choose columns to show","Kiest u kolommen te tonen"
"Cost","Prijs"
"City","Stad"
"Clean Cache","Cache wissen"
"Columns","Kolommen"
"Configuration","Configuratie"
"Country","Land"
"CSV","CSV"
"Custom date range","Door de klant bepaalde datumbereik"
"Customer Email","E-mail van een klant"
"Customer Group","Klantengroep"
"Customization","Klantaanpassing"
"Day","Dag"
"Day of Week","Dag van de week"
"Discounts","Kortingen"
"Enabled","Aangezet"
"Excel","Excel"
"Exclude","Uitsluiten"
"Export to:","Export naar:"
"Filter options","Filteropties"
"Font color","Letterkleur"
"Font size (px)","Lettergrootte "
"From","Van"
"* From %s to %s (%s)","Van %s tot %s  (%s)"
"General","Algemeen"
"Header customization","Opschrift van de aanpassing"
"Height (px)","Hoogte (px)"
"Hour","Uur"
"Include","Inscluiten"
"Include refunded items","Inclusief terugbetaalde artikels"
"Invoiced Incl. Tax","Factuur inclusief belastingen"
"Items Purchased","Verkochte artikels"
"Invoiced","Gefactureerd"
"Items Ordered","Bestelde artikels"
"It is not possible to build the chart.","Het is onmogelijk een grafiek op te stellen"
"Last 7 days","De laatste 7 dagen"
"Last month","De laatste maand"
"Last week","De laatste week"
"Manufacturer","Fabrikant"
"Maximum height is 300 px","Maximale hoogte is 300 px"
"Month","Maand"
"Modules","Modules"
"Select orders by","Bestellingen selecteren naar"
"New Accounts","Nieuwe accounts"
"Number of Customers","Klanten aantal"
"N","N"
"No columns to display","Geen kolommen te tonen"
"Number of latest custom date ranges","Aantal nieuwste aangepaste datumbereiken"
"Number of Orders","Aantal bestellingen"
"Order Date","Bestellingsdatum"
"Order #","Bestelling #"
"Orders","Bestellingen"
"Percent","Procent"
"Price","Prijs"
"Process orders","Bestellingen bewerken"
"Process orders","Bestellingen bewerken"
"Product Name","Productnaam"
"Products by Customer","Producten naar een klant"
"Products Purchased","Verkochte producten"
"Products to show","Producten aan te wijzen "
"Q","Q"
"Qty. Invoiced","Gefactureerde aantal"
"Qty. Ordered","Aantal besteld"
"Qty. Refunded","Terugbetaalde aantal"
"Qty. Shipped","Aantal verzonden"
"Quantity","Aantal""
"Quarter","Kwartaal"
"Range","Bereik"
"Refunded Incl. Tax","Terugbetaald inclusief belasting"
"Refunded","Terugbetaald"
"Region","Regio"
"Report Customization","Rapportaanpassing"
"Reports","Rapporten"
"Reset Filter","Filterinstellingen terugzetten"
"Reviews","Beoordelingen"
"Sales by Country","Verkocht naar een land"
"Sales by Customer Group","Verkocht naar een klantengroep"
"Sales by Day of Week","Verkocht naar een dag"
"Sales by Hour","Verkocht naar een uur"
"Sales by Product","Verkocht naar een product"
"Sales Report","Verkooprapport"
"Sales","Verkopen"
"Save date range when navigating between reports","Het datumbereik opslaan tijdens het navigeren tussen rapporten"
"Save date range when navigating between reports","Het datumbereik opslaan tijdens het navigeren tussen rapporten"
"Save","Opslaan"
"Select options","Opties selecteren"
"Set defaults","Standaardinstellingen toepassen"
"Shipping","Verzending"
"Show by","Weergeven naar"
"Show Report For","Rapport weergeven voor"
"SKU of grouped product","SKU van gegroepeerde product"
"SKU of simple product","SKU van eenvoudig product"
"SKU","SKU"
"SKU usage","SKU-gebruik"
+++"Subtotal",+++"Subtotaal"
"Tax Invoiced","Gefactureerde belasting"
"Tax Refunded","Terugbetaalde belasting"
"Tax","Belasting"
"The number of records in the SKU Advisor","Aantal records in de adviseur SKU"
"This month","Deze maand"
"This version of the Unit is not comparable with the current version of Advanced Reports","Deze versie van de unit is niet verenigbaar met de actuele versie van uitgebreide rapporten"
"Today","Vandaag"
"Total Incl. Tax","Totaalbedrag inclusief belasting"
"Total","Totaalbedrag"
"To","Naar"
"Units","Units"
"Updated At","Geactualiseerd op"
"Users Activity Report","Activiteitenrapport van de gebruiker "
"View Order","Bestelling aankijken"
"View Product","Product aankijken"
"View","Aankijken"
"Week","Week"
"Year","Jaar"
"Yesterday","Gisteren"
"Zip Code","Postcode"
