"Avg duration","Gemiddelde tijdsduur"
"Background Tasks Stats","Statitieken van achtergrond taken"
"Background Tasks","Achtergrond taken"
"Clear all Tasks","Alle taken opschonen"
"Clear group Tasks","Groep van taken opschonen"
"Count","Aantal"
"Cron execution stats","Cron uitvoeringsstatistieken"
"Debug Mode","Debug Mode"
"Delete failed Tasks ?","Mislukte taken verwijderen ?"
"Description","Beschrijving"
"Developper Email Address","Emailadres van de ontwikkelaar"
"Duration","Tijdsduur"
"Executed At","Uitgevoerd op"
"General","Algemeen"
"Group Tasks successfully deleted","Groep taken met succes verwijderd"
"Group","Groep"
"History Duration","Duur van de historie"
"Immediate Mode","Onmiddelijke modus"
"Max Execution Time","Maximale uitvoer tijdsduur"
"Please wait until tasks are complete...","Wacht svp totdat de taken voltooid zijn..."
"Remain to execute","Nog uit te voeren"
"Replay","Opnieuw"
"Result description","Resultaat omschrijving"
"Result","Resultaat"
"Stats per method","Statistieken per methode"
"Store stack trace","Stack trace opslaan"
"Task count","Aantal taken"
"Tasks successfully deleted","Taken met succes verwijderd"
"Tasks successfully performed","Taken met succes uitgevoerd"
"Total duration","Totale tijdsduur"
