"Sent to logistic company","Verzonden naar logistieke dienstverlener"
"Stream information","Stream information"
"Custom information","Custom information"
"Send to logistic company","Verzenden naar logistieke dienstverlener"
"External Logistic","Externe logistiek"
"Streams","Stromen"
"View History","Bekijk historie"
"History","Historie"
"Logistic stream code","Logistieke stroom code"
"Entity ids","Ids"
"Scheduling","Planning"
"Edit Stream","Bewerkt stroom"
"Days","Dagen"
"Hours","Uren"
"Use shell to zip","Gebruik de shell om te zippen"
"Send purchase order to logistic when status passed to Waiting for delivery","Verzend inkooporder naar logistiek wanneer status naar Wacht op levering gaat"
"Max products to send at once","Maximum aantal producten dat ineens verzonden kan worden"
"Developper email","Ontwikkelaar emailadres"
"Stock manager email","Voorraadbeheerder emailadres"
"FTP Host","FTP Host"
"FTP Port","FTP Poort"
"FTP Login","FTP Login"
"FTP Password","FTP Wachtwoord"
"Activity","Activite"
"Customer name (your company name)","Klantnaam (uw bedrijfsnaam)"
"Is schedule at ","Is geplanned op "
"monday","maandag"
"tuesday","dinsdag"
"wednesday","woensdag"
"thursday","donderdag"
"friday","vrijdag"
"saturday","zaterdag"
"sunday","zondag"
"Shipping Address","Afleveradres"
"Billing Address","Factuuradres"
"Qty","Aantal"
"Order #","Order #"
"Confirmed by logistic company","Bevestigd door logistieke dienstverlener"
