"All Tasks/Events","Alle Taken / Gebeurtenissen"
"Author","Auteur"
"Caption","Titel"
"Category","Categorie"
"Complete","Voltooid"
"Created at ","Aangemaakt op "
"Created at ","Aangemaakt op"
"Dead line","Uiterste datum"
"Description","Omschrijving"
"Display / Hide Comments","Toon / Verberg opmerkingen"
"Entity","Entiteit"
"Late Tasks/Events","Te late Taken / Gebeurtenissen"
"My Dashboard","Mijn Dashboard"
"My Tasks","Mijn Taken"
"Notification Date","Meldingsdatum"
"Notify Target","Stuur een melding naar het doel"
"Notify","Melding"
"Organizer","Organizer"
"Origin","Herkomst"
"Priority","Prioriteit"
"Select","Selecteer"
"Show / Hide New Task","Toon / Verberg nieuwe taak"
"Show/Hide","Toon / Verberg"
"Target","Doel"
