" from ","Van"
""Account Information","Account informatie"
"(Shipping and customs duties)","(Voor transport- en douanekosten)"
"(Those information can change due to facts beyond our control)","(Deze informatie kan veranderen zonder een aanpassing door uzelf)"
"Account Login","Inloggen"
"Account Password","Wachtwoord"
"Accounting",""
"Accounting","Financieel"
"Action","Actie"
"Add Manufacturer","Fabrikant Toevoegen"
"Add Range","Range toevoegen"
"Add Stock Movement","Voorraad verplaatsing toevoegen"
"Add Supplier","Leverancier toevoegen"
"Add to Selection","Toevoegen aan selectie"
"Add","Toevoegen"
"Address 1","Adres 1"
"Address 2","Adres 2"
"After Sale Information","After Sale Informatie"
"All products delivered","Alle producten zijn geleverd"
"All Tasks / Events","Alle Taken / Gebeurtenissen"
"All Tasks/Events","Alle Taken / Gebeurtenissen"
"Allow backorders","Sta backorders toe"
"Already Ordered Qty","# Reeds besteld"
"An error occured while saving changes: ","Er is een fout opgetreden: "
"An error occured while uploading file.","Er is een fout opgetreden tijdens het uploaden van een bestand"
"Apply Filter","Filter gebruiken"
"Are you sure ?","Weet je het zeker?"
"Assembly /<br>Preparation","Inpakken /<br>Verwerken"
"Assignments","Toewijzingen"
"Associated Manufacturers","Gekoppelde Fabrikanten"
"Associated Orders","Gerelateerde orders"
"Associated Suppliers","Gekoppelde Leveranciers"
"Author","Auteur"
"Automatically fill product price from history","Productprijs automatisch invullen vanuit historie"
"Available date","Datum<br>beschikbaar"
"Available Qty","Aantal<br>beschikbaar"
"Available stock","Beschikbare voorraad"
"Available under delay","Beschikbaar met vertraging"
"Back","Terug"
"Billing Method : ","Factuur gegevens : "
"Buy Price","Inkoopprijs"
"Buying<br>Price (%s)","Inkoopprijs<br>(%s)"
"By Product amount","Op product prijs"
"By Product Qty","Op product aantal"
"Cache refreshed","Cache is herladen"
"Can dropship","Doet dropshipping"
"Cancel payment","Betaling annuleren"
"Caption","Titel"
"Carriage free order amount","Orderbedrag franco levering"
"Carriage free order weight","Ordergewicht franco levering"
"Carrier : ","Transporteur : "
"Carrier code","Transporteur code"
"Carrier templates","Transporteur templates"
"Carrier Templates","Transporteur templates"
"Carriers class","Carriers class"
"Changes successfully saved","Veranderingen succesvol opgeslagen"
"Check product / supplier association when adding product to purchase order","Controleer product / leverancier associatie bij het toevoegen van een product aan een inkooporder"
"City","Stad"
"Comments : ","Opmerkingen : "
"Comments","Opmerkingen"
"Commit successfull","Opgave succesvol uitgevoerd"
"Company name","Bedrijfsnaam"
"Company Name","Bedrijfsnaam"
"Compute Buy Price","Bereken koop prijs"
"Contacts","Contactpersonen"
"Content to Ship","Te verzenden"
"Copy To","Kopie naar"
"Cost Repartition Method","Cost Repartition Method"
"Cost Repartition Method","Kostenverdeelmethode"
"Country","Land"
"Create New Delivery","Levering aanmaken"
"Create New Delivery","Maak nieuwe levering"
"Create new template","Maak nieuwe template"
"Create Order and Add Selected Products","Cre&euml;er order en voeg geselecteerde producten toe"
"Create Shipments & Invoices","Cre&euml;er Verzend- en factuurbonnen"
"Create shipments/invoices","Maak verzendingen/facturen"
"Create","Cre&euml;er"
"Created items","Aangemaakte items"
"Currency Change Rate","Valuta wisselkoers"
"Currency","Valuta"
"Current stock","Actuele voorraad"
"Customer Return","Retour door klant"
"Customers successfully notified.","Klanten zijn succesvol geinformeerd"
"Data saved","Gegevens opgeslagen"
"Data successfully saved","Informatie succesvol opgeslagen"
"Datas verified","Gegevens OK"
"days","Dagen"
"days, used when supplier stock is greater than 0","dagen, wordt gebruikt indien leveranciersvoorraad groter dan 0 is"
"days, used when supplier stock is not set or equal to 0","dagen, wordt gebruikt indien leveranciersvoorraad niet is ingevuld of 0 is"
"Dead Line","Uiterste datum"
"Dead Line<br>for Purchase","Uiterste<br>inkoopdatum"
"Deadline","Deadline"
"Deadline","Uiterste datum"
"Default currency","Standaard valua"
"Default delay","Standaard vertraging"
"Default supply delay","Standaard bevoorradingsvertraging"
"Default Supply Delay","Standaard bevoorradingsvertraging"
"Default tax rate for Pricer","Standaard BTW tarief voor prijsberekening"
"Default tax rate for Shipping","Standaard BTW tarief voor transport"
"Default warehouse for delivery","Standaard magazijn voor aanleveringen"
"Defect products warehouse","Magazijn voor defecte producten"
"Delete manual supply need when stock level ok","Verwijder handmatige voorraadbehoefte indien voorraadniveau OK is"
"Delete","Verwijderen"
"Delivered Qty","Geleverde items"
"Delivered<br>Qty","Geleverd<br>aantal"
"Deliveries","Leveringen"
"Delivery %","Leverings %"
"Delivery date incorrect","Aankomstdatum incorect"
"Delivery Date","Leveringsdatum"
"Delivery Progress","Leveringsvoortgang"
"Delivery<br>planed to","Verzending<br>Gepland op"
"Discount %","Korting %"
"Display / Hide Comments","Toon / Verberg opmerkingen"
"Display disabled products","Toon uitgeschakelde producten"
"Display Discount","Toon korting"
"Display last buy price","Toon laatste aankoopprijs"
"Display order notices","Toon ordernotities"
"Display product picture","Toon productafbeelding"
"Display specific delivery date","Toon specifieke afleverdatum"
"Display supplier sku","Toon leveranciers sku"
"Display warning stock level","Toon waarschuwing voorraadniveau"
"Display Weee","Toon WEEE"
"donation","Donatie"
"Download documents","Download documenten"
"Due date","Vervaldatum"
"Edit Contact","Contact info aanpassen"
"Edit Manufacturer","Fabrikant aanpassen"
"Edit Order","Bestelling aanpassen"
"Edit Product","Product aanpassen"
"Edit Supplier","Leverancier aanpassen"
"Edit","Aanpassen"
"Enable defect delivery","Defect leveringen inschakelen"
"Entity","Entiteit"
"Error adding Product","Fout tijdens toevoegen product"
"Estimated delivery date","Verwachte leverdatum"
"Estimated shipping date","Verwachte verzenddatum"
"Exceptions","Uitzonderingen"
"Exclude from Supply Needs","Uitsluiten van voorraadbehoefte"
"Expected qty","Verwachte aantal"
"Export to ","Exporteren naar"
"Export to Carrier Software","Exporteer naar 3th party software"
"Extended costs are external","Uitgebreide kosten zijn extern"
"File successfully imported: ","Bestand succesvol geimporteerd: "
"File","Bestand"
"Finish","Voltooien"
"Finished","Voltooid"
"Firstname","Voornaam"
"Fix error","Herstel fout"
