"Catalog Permissions cache","Cache das Permissões de Catálogo"
"Disabled products and categories by customer group","Desabilitar produtos e categorias por grupo de cliente"
"%s is not for sale","%s não está a venda"
"Hide price for group","Ocultar preço por grupo"
"Catalog Permissions","Permissões do Catálogo"
"Disable product for","Desabilitar produto para"
"Hide product price for","Ocultar preço do produto para"
"Permissions","Permições"
"Hide category for a specific customer group","Ocultar categoria para um grupo de clientes específico"
"You do not have permission to access this page","Você não tem permissão para acessar esta página"
"This value adds to %s","Este valor aumenta %s"
"global value","valor global"
