" (%sMb limit)"," (%sMb limit)"
" Back to My Support Tickets","Retornar a Meus Chamados"
" Disable standard contact form emails"," Desabilitar formulário padrão de contato por email"
"",""
"%s <%s>","%s <%s>"
"%s","%s"
"* Required Fields","* Campos Obrigatórios"
"--- No template ---","--- Sem padrão ---"
"--- Select an order ---","--- Selecione uma ordem ---"
"110 for POP3, 995 for POP3-SSL, 143 for IMAP-TLS and 993 for IMAP-SSL by default","110 para POP3, 995 para POP3-SSL, 143 para IMAP-TLS e 993 para IMAP-SSL por padrão"
"ASAP","ASAP"
"AW Help Desk Ultimate Admin New Ticket","AW Help Desk Ultimate Admin Novo Chamado"
"AW Help Desk Ultimate Admin Ticket Reply","AW Help Desk Ultimate Admin Resposta ao Chamado"
"AW Help Desk Ultimate Customer New ticket","AW Help Desk Ultimate Cliente Novo Chamado"
"AW Help Desk Ultimate Customer New ticket(initialized by admin)","AW Help Desk Ultimate Cliente Novo Chamado (iniciado pelo admin)"
"AW Help Desk Ultimate Customer Ticket Reply","AW Help Desk Ultimate Cliente Resposta ao Chamado"
"AW Help Desk Ultimate Ticket Reassignation","AW Help Desk Ultimate Chamado Redirecionado"
"Action","Ação"
"Actions","Ações"
"Active","Ativo"
"Add Order Comments","Adiconar Comentários ao Pedido"
"Additional Information","Informação Adicional"
"Admin Permissions","Permissões Administrativas"
"Advanced Options","Opções Avançadas"
"All","Todos"
"Allow external view for tickets","Permitir visualização externa para chamados"
"Allowed Roles","Perfis Permitidos"
"Allows customers to link tickets to orders","Permitir clientes atribuírem chamados a pedidos"
"Allows customers to view tickets without being logged in","Permitir clientes visualizarem chamados sem estar autenticados"
"An email address for Help Desk to fetch messages from. This address must NOT be used by any other person or system!","Um endereço de email para o Help Desk receber mensagens. Este endereço NÃO deve ser usado por nenhuma outra pessoa ou sistema!"
"Antispam protection failed","Proteção Antispam falhou"
"Are you sure you want do this?","Você tem certeza que quer fazer isto?"
"Are you sure you want to do this?","Você tem certeza que quer fazer isto?"
"Are you sure?","Você tem certeza?"
"Assign order","Atribuir pedido"
"Assign to customer","Atribuir ao cliente"
"Assign to department","Atribuir ao departamento"
"Assign to order #","Atribuir ao pedido nro"
"Assign","Atribuir"
"Assigned to customer","Atribuído ao cliente"
"Assigned to order","Atribuído ao pedido"
"Attachment","Anexo"
"Attachments","Anexos"
"Auto assign departments on email reply","Atribuir automaticamente departamentos no email de resposta"
"Back to My Support Tickets","Voltar para Meus Chamados"
"Back","Voltar"
"Body","Conteúdo"
"CSV","CSV"
"Cancel","Cancelar"
"Change status","Alterar status"
"Click to close quotation","Clique para fechar cotação"
"Click to open quotation","Clique para abrir cotação"
"Closed","Fechado"
"Comment","Comentário"
"Contact Form","Forma de Contato"
"Contact Information","Informação de Contato"
"Contact Us","Entre em Contato"
"Contact form %s <%s>","Forma de contato %s <%s>"
"Content can't be empty","Conteúdo não pode ser vazio"
"Content","Conteúdo"
"Couldn't load pattern entry by given ID","Não pode carregar entrada padrão para este ID"
"Couldn't load ticket by given ID","Não pode carregar chamado para este ID"
"Create New Ticket","Criar Novo Chamado"
"Create new ticket","Criar novo chamado"
"Create new tickets from email","Criar novos chamados do email"
"Create ticket for this customer","Criar chamado para este cliente"
"Create ticket from this order","Criar chamado para este pedido"
"Create ticket","Criar chamado"
"Created","Criado"
"Custom ticket statuses","Status customizados dos chamados"
"Customer Tickets","Chamados do Cliente"
"Customer tickets history","Histórico dos chamados do cliente"
"Customer","Cliente"
"Date","Data"
"Dedicated help desk email. Do not use this address for anything except this extension.","Email exclusivo do help desk. Não use este endereço para nada além disso."
"Default admin ticket status","Status padrão chamado admin"
"Delete Emails From Host","Apagar Emails da Origem"
"Delete","Apagar"
"Department Details","Detalhes do Departamento"
"Department does not exist","Departamento não existe"
"Department was successfully deleted","Departamento foi apagado com sucesso"
"Department was successfully saved","Departamento foi salvo com sucesso"
"Department","Departmento"
"Department/Customer","Departamento/Cliente"
"Departments Statistics","Estatísticas dos Departamentos"
"Departments statistics","Estatísticas dos departamentos"
"Departmnet Reassign Template","Modelo Redirecionamento de Departamento"
"Disable standard contact form emails","Desabilitar emails de contato padrão"
"Edit Department ""%s""","Editar Departamento ""%s"""
"Edit Email Gateway ""%s""","Editar Email Gateway ""%s"""
"Edit Quick Response "%s"","Editar Resposta Rápida "%s""
"Edit","Editar"
"Email Gateway details","Detalhes Portal de Email"
"Email Rejecting","Rejeição de Email"
"Email address","Endereço de Email"
"Email has been deleted from rejected emails list","Email foi apagado da lista de emails rejeitados"
"Email has been marked as unprocessed","Email foi marcado como não processado"
"Email Settings","Configurações de Email"
"Email templates","Modelos de Email"
"Email","Email"
"Notifications to department will be sent to this address","Emails para o departamento serão enviados a este endereço"
"Enable linking tickets to orders","Habilitar atribuir chamados a pedidos"
"Enabled","Habilitado"
"Enter 0 or leave the field empty if auto-expiration is not required","Entre 0 ou deixe o campo vazio se a auto-expiração não é necessária"
"Enter comma-separated values","Entre valores separados por vírgula"
"Enter digits <b>%s</b>","Entre dígitos <b>%s</b>"
"Excel","Excel"
"External URL","URL Externa"
"Failed","Falhou"
"File","Arquivo"
"Find customer","Procurar cliente"
"From","De"
"Gateway Email","Gateway Email"
"Gateway Host","Gateway Host"
"Gateway does not exist","Gateway não existe"
"Gateway was successfully deleted","Gateway foi apagado com sucesso"
"Gateway was successfully saved","Gateway foi salvo com sucesso"
"General","Geral"
"General Department","Departamento Geral"
"General Information","Informação Geral"
"Grid Columns Options","Opções da Grade de Colunas"
"Handle file uploads","Controlar envio de arquivos"
"Headers","Cabeçalhos"
"Help Desk - Departments","Help Desk - Departamentos"
"Help Desk - Gateways","Help Desk - Gateways"
"Help Desk - Quick responses","Help Desk - Respostas rápidas"
"Help Desk - Tickets","Help Desk - Chamados"
"Help Desk","Help Desk"
"Hidden for Customer","Ocultado do Cliente"
"ID","ID"
"IMAP","IMAP"
"If No is selected, customers won't be able to choose the department when submitting a ticket. In that case, ticket will be sent to primary department (if specified).","Se Não foi selecionado, clientes não poderão escolher o departamento quando criarem um chamado. Neste caso, o chamado será enviado para o primeiro departamento (se especificado)."
"If Yes is selected, the standard contact form email won't be sent (use in alliance with ""Yes"" set in the field above)","Se foi selecionado Sim, o email de contato padrão não será enviado (use em conjunto com o ajuste ""Sim"" no campo acima)"
"If Yes, a ticket would be created when sending a message through the contact form","Se Sim, um chamado será criado quando enviar uma mensagem através do formulário de contato"
"If filled in, copies of the all messages from Helpdesk will be sent to this email","Se preenchido, cópias de todas as mensagens do Helpdesk serão enviadas para este email"
"If none gateway is selected, all of them will be checked","Se nenhum gateway for selecionado, todos serão verificados"
"If time","Se houver tempo"
"If you don't have the Product Questions installed, you can purchase it <a href='http://ecommerce.aheadworks.com/extensions/product-questions.html'>here</a>","Se você não tem o módulo Questões de Produto instalado, você pode comprá-lo <a href='http://ecommerce.aheadworks.com/extensions/product-questions.html'>aqui</a>"
"Image","Imagem"
"Images","Imagens"
"Incorrect operation","Operação incorreta"
"Invalid order number","Número de pedido inválido"
"Item was successfully deleted","Item foi apagado com sucesso"
"Items Manager","Gerenciador de Itens"
"Last Customer Reply enabled","Última Resposta Cliente habilitada"
"Last Department Reply enabled","Última Resposta Departamento habilitada"
"Last customer reply","Última resposta do cliente"
"Last department reply","Última resposta do departamento"
"Last reply","Última resposta"
"Lock","Travar"
"Locked (Yes/No)","Travado (Sim/Não)"
"Locked","Travado"
"Login","Login"
"Manage Patterns","Gerenciar Padrões"
"Manage departments","Gerenciar departamentos"
"Manage email gateways","Gerenciar gateways de email"
"Mark as unprocessed","Marcar como não processado"
"Max Upload File Size (Mb)","Tamanho Máximo para Envio de Arquivo (Mb)"
"Message has been successfully removed","Mensagem foi removida com sucesso"
"Message","Mensagem"
"Modules integration","Integração de módulos"
"My Orders","Meus Pedidos"
"My Support Tickets","Meus Chamados"
"N/A","N/A"
"NONE","NENHUM"
"Name can't be empty","nome não pode ser vazio"
"Name will be used at customer area","Nome será usado na área do cliente"
"Name","Nome"
"New Department","Novo Departamento"
"New Email Gateway","Novo Gateway de Email"
"New Quick Response","Nova Resposta Rápida"
"New Status","Novo Status"
"New Ticket Admin Template","Novo Chamado Modelo Admin"
"New Ticket Customer Template","Novo Chamado Modelo Cliente"
