"id";"item_group_id";"title";"link";"price";"online_only";"description";"condition";"product_type";"google_product_category";"image_link";"availability";"quantity";"featured_product";"shipping_weight";"manufacturer";"brand";"mpn";"gtin"
"ALCAR-100";"ALCAR";"Acetyl L-Carnitine (ALCAR) - 100g Pure Powder";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar.html";"12.96";"y";"Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced in the body and is derived from the two essential amino acids, Methionine and Lysine.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_166.jpg";"in stock";"241";"no";"0.22 kilograms";"BulkSupplements";"BulkSupplements";"ALCAR-100";"849720000033"
"ALCAR-250";"ALCAR";"Acetyl L-Carnitine (ALCAR) - 250g Pure Powder";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar.html";"17.96";"y";"Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced in the body and is derived from the two essential amino acids, Methionine and Lysine.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_165.jpg";"in stock";"515";"no";"0.55 kilograms";"BulkSupplements";"BulkSupplements";"ALCAR-250";"849720000040"
"ALCAR-500";"ALCAR";"Acetyl L-Carnitine (ALCAR) - 500g Pure Powder";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar.html";"28.96";"y";"Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced in the body and is derived from the two essential amino acids, Methionine and Lysine.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_164.jpg";"in stock";"58";"no";"1.10 kilograms";"BulkSupplements";"BulkSupplements";"ALCAR-500";"849720000118"
"ALCAR-1KG";"ALCAR";"Acetyl L-Carnitine (ALCAR) - 1kg Pure Powder";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar.html";"46.96";"y";"Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced in the body and is derived from the two essential amino acids, Methionine and Lysine.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_163.jpg";"in stock";"139";"no";"2.21 kilograms";"BulkSupplements";"BulkSupplements";"ALCAR-1KG";"849720000125"
"ALCAR-25KG";"ALCAR";"Acetyl L-Carnitine (ALCAR) - 25kg Pure Powder";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar.html";"560.96";"y";"Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced in the body and is derived from the two essential amino acids, Methionine and Lysine.";"new";"BulkSupplements > Products by Category > Amino Acids";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_163.jpg";"in stock";"10";"no";"57.42 kilograms";"BulkSupplements";"BulkSupplements";"ALCAR-25KG";"849720000132"
"L-ARGHCL-100";"L-ARGHCL";"L-Arginine HCL - 100g Pure Powder";"http://www.bulksupplements.com/l-arginine-hcl.html";"11.96";"y";"L-Arginine is a substance produced by the body in limited quantities and promotes overall good health. The added HCL maintains a neutral pH so that the resulting compound creates fewer stomach issues than the standard Arginine base.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_4_22.jpg";"in stock";"141";"no";"0.22 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGHCL-100";"849720012968"
"L-ARGHCL-250";"L-ARGHCL";"L-Arginine HCL - 250g Pure Powder";"http://www.bulksupplements.com/l-arginine-hcl.html";"14.96";"y";"L-Arginine is a substance produced by the body in limited quantities and promotes overall good health. The added HCL maintains a neutral pH so that the resulting compound creates fewer stomach issues than the standard Arginine base.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_4_23.jpg";"in stock";"100";"no";"0.55 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGHCL-250";"849720012975"
"L-ARGHCL-500";"L-ARGHCL";"L-Arginine HCL - 500g Pure Powder";"http://www.bulksupplements.com/l-arginine-hcl.html";"21.96";"y";"L-Arginine is a substance produced by the body in limited quantities and promotes overall good health. The added HCL maintains a neutral pH so that the resulting compound creates fewer stomach issues than the standard Arginine base.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_4_24.jpg";"in stock";"60";"no";"1.10 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGHCL-500";"849720012982"
"L-ARGHCL-1KG";"L-ARGHCL";"L-Arginine HCL - 1kg Pure Powder";"http://www.bulksupplements.com/l-arginine-hcl.html";"32.96";"y";"L-Arginine is a substance produced by the body in limited quantities and promotes overall good health. The added HCL maintains a neutral pH so that the resulting compound creates fewer stomach issues than the standard Arginine base.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_4_25.jpg";"in stock";"104";"no";"2.21 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGHCL-1KG";"849720012999"
"L-ARGHCL-25KG";"L-ARGHCL";"L-Arginine HCL - 25kg Pure Powder";"http://www.bulksupplements.com/l-arginine-hcl.html";"528.96";"y";"L-Arginine is a substance produced by the body in limited quantities and promotes overall good health. The added HCL maintains a neutral pH so that the resulting compound creates fewer stomach issues than the standard Arginine base.";"new";"BulkSupplements > Products by Goal > Heart Health";"Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements";"http://www.bulksupplements.com/media/catalog/product/l/-/l-arginine_hcl.jpg";"in stock";"71";"no";"57.42 kilograms";"BulkSupplements";"BulkSupplements";"L-ARGHCL-25KG";"849720013019"
