"price";"product_url";"designation";"category";"image_url";"description";"merchant_id";"in_stock";"Stock_detail";"product_type";"condition"
"14.02";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar.html";"Pure Acetyl L-Carnitine (ALCAR) Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Men's Health, BulkSupplements > Products by Goal > Mental Wellness, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_167.jpg";"<p style=\"text-align: justify;\">Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced in the body and is derived from the two essential amino acids, Methionine and Lysine.</p>";"ALCAR";"Y";"6281";"1";"0"
"14.02";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar-100g-pure-powder.html";"Acetyl L-Carnitine (ALCAR) | Powder or Capsules | PureDepot.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_166.jpg";"<p style=\"text-align: justify;\">Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced by the human body in the kidneys and liver and is derived from the two essential amino acids, Methionine and Lysine. The body uses Acetyl-L-Carnitine to assist in oxidizing fatty acids. In simpler terms, this means that this ALCAR is used to help convert the fatty acids found in food into an exhaustible energy source, that in turn fuels the body. This works because ALCAR is the main vehicle that assists in the transference of these fatty acids to the mitochondrial membrane of each local cell where this oxidization routinely happens. ALCAR can be found in larger deposits near the areas of the body that most actively break down fatty acids on a regular basis, including those muscles that control the skeleton and the heart.</p>";"ALCAR-100";"Y";"241";"1";"0"
"19.42";"http://www.bulksupplements.com/acetyl-l-carnitine-alcar-250g-pure-powder.html";"Acetyl L-Carnitine (ALCAR) | Powder or Capsules | PureDepot.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_165.jpg";"<p style=\"text-align: justify;\">Acetyl-L-Carnitine Powder (sometimes shortened to ALCAR) is a type of L-Carnitine that has been acetylized. It is naturally produced by the human body in the kidneys and liver and is derived from the two essential amino acids, Methionine and Lysine. The body uses Acetyl-L-Carnitine to assist in oxidizing fatty acids. In simpler terms, this means that this ALCAR is used to help convert the fatty acids found in food into an exhaustible energy source, that in turn fuels the body. This works because ALCAR is the main vehicle that assists in the transference of these fatty acids to the mitochondrial membrane of each local cell where this oxidization routinely happens. ALCAR can be found in larger deposits near the areas of the body that most actively break down fatty acids on a regular basis, including those muscles that control the skeleton and the heart.</p>";"ALCAR-250";"Y";"515";"1";"0"
"12.93";"http://www.bulksupplements.com/l-arginine-hcl.html";"Pure L-Arginine HCL Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Heart Health, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_4_21.jpg";"<p style=\"text-align: justify;\">L-Arginine is a substance produced by the body in limited quantities and promotes overall good health. The added HCL maintains a neutral pH so that the resulting compound creates fewer stomach issues than the standard Arginine base.</p>";"L-ARGHCL";"Y";"5451";"1";"0"
"11.85";"http://www.bulksupplements.com/l-arginine-base.html";"Pure L-Arginine Base Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Heart Health, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_208.jpg";"<p style=\"text-align: justify;\">L-Arginine is a type of amino acid that does work to promote the health of the skin, joints and muscles.</p>";"L-ARGB";"Y";"11190";"1";"0"
"11.85";"http://www.bulksupplements.com/l-arginine-a-ketoglutarate-aakg.html";"Pure L-Arginine a-Ketoglutarate (AAKG) Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal > Men's Health, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_219.jpg";"<p style=\"text-align: justify;\">L-Arginine Alpha-Ketoglutarate is a 2:1 salt formed from the combination of two parts Arginine and one part Alpha-Ketoglutarate. </p>";"L-AAKG";"Y";"7824";"1";"0"
"10.77";"http://www.bulksupplements.com/l-alanine.html";"Pure L-Alanine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Digestive Support, BulkSupplements > Products by Category > Sports Supplements";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_6_170.jpg";"<p style=\"text-align: justify;\">While Alanine is considered a nonessential acid, meaning that it is produced naturally in the body, L-Alanine supplementation can be very important. This is a pure product that comes in powdered form.</p>";"L-ALA";"Y";"5361";"1";"0"
"11.85";"http://www.bulksupplements.com/l-glycine.html";"Pure Glycine Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Category > Amino Acids";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_123.jpg";"<p style=\"text-align: justify;\">Glycine is an amino acid considered nonessential but nonetheless important in the formation of muscle tissue and in the conversion of glucose into energy. Glycine is also an antioxidant.</p>";"L-GLY";"Y";"5712";"1";"0"
"18.34";"http://www.bulksupplements.com/glutathione-reduced.html";"Pure Glutathione Reduced Powder in Bulk | BulkSupplements.com";"BulkSupplements > Products by Goal, BulkSupplements > Products by Category > Amino Acids, BulkSupplements > Products by Goal > Skin Care & Beauty";"http://www.bulksupplements.com/media/catalog/product/b/a/bagresize_1_128.jpg";"<p style=\"text-align: justify;\">Glutathione is a tripeptide made up of Glutamate, Cysteine and Glycine (all very important amino acids). It can be found in both oxidized and reduced forms. The reduced form has antioxidant properties that keep cells safe from being harmed by free radical molecules. Glutathione in a reduced state can be found naturally within cells. </p>";"GR";"Y";"755";"1";"0"
"17.26";"http://www.bulksupplements.com/edta-disodium.html";"Pure EDTA Disodium Powder in Bulk | BulkSupplements.com";"";"http://www.bulksupplements.com/media/catalog/product/a/m/amazonbag_73.png";"<p style=\"text-align: justify;\">EDTA is short for Ethylenediaminetetraacetic Acid. This version is produced as a disodium salt and comes in raw, powdered form.</p>";"EDTA";"Y";"542";"1";"0"
